PERMNO,date,NAICS,DCLRDT,DLAMT,DLPDT,PAYDT,RCRDDT,SHRFLG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,DLRETX,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,29/12/2006,511210,,,,,,0,,,,,,,21/01/2007,,,,28.85000,30.19000,29.86000,11497028,0.017030,29.85000,29.85000,9777000,1,1,29.86000,,29/12/2006,0.017030,0.010854,0.009151,0.014800,0.012585,0.012616
10107,31/01/2007,511210,,,,,,0,,,,,,,29/03/2007,,,,29.64000,31.21000,30.86000,13390496,0.033490,30.86000,30.87000,9792314,1,1,30.86000,,31/01/2007,0.033490,0.019401,0.018466,0.022283,0.021357,0.014059
10107,28/02/2007,511210,20/12/2006,,,08/03/2007,15/02/2007,0,1232,0.10000,0.00000,0.00000,,,,,,,27.87000,30.56000,28.17000,13007733,-0.083927,28.15000,28.16000,9792314,1,1,28.17000,,28/02/2007,-0.087168,-0.013994,-0.015985,0.002111,0.000857,-0.021846
10107,30/03/2007,511210,,,,,,0,,,,,,,22/04/2007,,,,26.72000,28.52000,27.87000,12832900,-0.010650,27.86000,27.87000,9572000,1,1,27.87000,,30/03/2007,-0.010650,0.012946,0.011471,0.006545,0.004805,0.009980
10107,30/04/2007,511210,,,,,,0,,,,,,,28/06/2007,,,,27.74000,30.12000,29.94000,9676052,0.074273,29.94000,29.95000,9566808,1,1,29.94000,,30/04/2007,0.074273,0.039821,0.038455,0.027044,0.025768,0.043291
10107,31/05/2007,511210,26/03/2007,,,14/06/2007,17/05/2007,0,1232,0.10000,0.00000,0.00000,,,,,,,30.17000,31.11000,30.69010,13176580,0.028393,30.68000,30.70000,9566808,1,1,30.69010,,31/05/2007,0.025053,0.038932,0.036643,0.023123,0.021362,0.032549
10107,29/06/2007,511210,,,,,,0,,,,,,,31/07/2007,,,,29.47000,30.71500,29.47000,11884314,-0.039756,29.45000,29.47000,9380000,1,1,29.47000,,29/06/2007,-0.039756,-0.014754,-0.016117,-0.007906,-0.009856,-0.017816
10107,31/07/2007,511210,,,,,,0,,,,,,,,,,,28.99000,31.51000,28.99000,13008446,-0.016288,28.98000,28.99000,9380000,1,1,28.99000,,31/07/2007,-0.016288,-0.031758,-0.032762,-0.043537,-0.044642,-0.031982
10107,31/08/2007,511210,27/06/2007,,,13/09/2007,16/08/2007,0,1232,0.10000,0.00000,0.00000,,,06/09/2007,,,,27.81000,30.00000,28.73000,12397224,-0.005519,28.68000,28.69000,9375492,1,1,28.73000,,31/08/2007,-0.008969,0.011631,0.009678,-0.011712,-0.013287,0.012864
10107,28/09/2007,511210,,,,,,0,,,,,,,21/10/2007,,,,28.42010,29.55990,29.46000,11168623,0.025409,29.46000,29.47000,9355000,1,1,29.46000,,28/09/2007,0.025409,0.040849,0.039332,0.025364,0.023661,0.035794
10107,31/10/2007,511210,,,,,,0,,,,,,,30/12/2007,,,,29.45250,36.81000,36.81000,17744802,0.249491,36.79000,36.80000,9355439,1,1,36.81000,,31/10/2007,0.249491,0.025834,0.024693,0.017406,0.016144,0.014822
10107,30/11/2007,511210,12/09/2007,,,13/12/2007,15/11/2007,0,1232,0.11000,0.00000,0.00000,,,,,,,32.97000,37.06000,33.60000,18330717,-0.084216,33.58000,33.59000,9355439,1,1,33.60000,,30/11/2007,-0.087205,-0.049327,-0.051275,-0.076617,-0.078118,-0.044043
10107,31/12/2007,511210,,,,,,0,,,,,,,17/01/2008,,,,32.77000,36.61000,35.60000,10700171,0.059524,35.59000,35.60000,9329000,1,1,35.60000,,31/12/2007,0.059524,-0.004428,-0.006515,-0.010989,-0.014282,-0.008628
10107,31/01/2008,511210,,,,,,0,,,,,,,30/03/2008,,,,31.93000,35.37000,32.60000,19530535,-0.084270,32.51000,32.54000,9306980,1,1,32.60000,,31/01/2008,-0.084270,-0.062147,-0.063252,-0.045066,-0.046160,-0.061163
10107,29/02/2008,511210,19/12/2007,,,13/03/2008,21/02/2008,0,1232,0.11000,0.00000,0.00000,,,,,,,27.19990,30.44980,27.19990,23258303,-0.162273,27.20000,27.21000,9306980,1,1,27.19990,,29/02/2008,-0.165647,-0.021664,-0.023605,-0.021401,-0.022916,-0.034761
10107,31/03/2008,511210,,,,,,0,,,,,,,20/04/2008,,,,26.99000,29.42000,28.38000,14572915,0.043386,28.34000,28.33000,9310000,1,1,28.38000,,31/03/2008,0.043386,-0.010419,-0.012158,-0.025309,-0.027567,-0.005960
10107,30/04/2008,511210,,,,,,0,,,,,,,29/06/2008,,,,28.06000,31.80000,28.52000,14480582,0.004933,28.52000,28.53000,9313293,1,1,28.52000,,30/04/2008,0.004933,0.051106,0.049781,0.031907,0.030490,0.047547
10107,30/05/2008,511210,17/03/2008,,,12/06/2008,15/05/2008,0,1232,0.11000,0.00000,0.00000,,,,,,,28.05000,30.45010,28.32000,14084270,-0.003156,28.21000,28.23000,9313293,1,1,28.32000,,30/05/2008,-0.007013,0.023841,0.021528,0.031787,0.029774,0.010674
10107,30/06/2008,511210,,,,,,0,,,,,,,27/07/2008,,,,27.12000,29.07000,27.51000,15648014,-0.028602,27.53000,27.52000,9151000,1,1,27.51000,,30/06/2008,-0.028602,-0.078433,-0.080247,-0.086625,-0.088745,-0.085962
10107,31/07/2008,511210,,,,,,0,,,,,,,04/09/2008,,,,25.15000,27.52000,25.72000,16420967,-0.065067,25.73000,25.75000,9130293,1,1,25.72000,,31/07/2008,-0.065067,-0.013328,-0.014677,-0.001295,-0.002657,-0.009859
10107,29/08/2008,511210,11/06/2008,,,11/09/2008,21/08/2008,0,1232,0.11000,0.00000,0.00000,,,,,,,25.28000,28.13000,27.29000,12083088,0.065319,27.32000,27.33000,9130293,1,1,27.29000,,29/08/2008,0.061042,0.010563,0.008574,0.013023,0.011122,0.012191
10107,30/09/2008,511210,,,,,,0,,,,,,,19/10/2008,,,,24.57000,27.62000,26.69000,19299651,-0.021986,26.67000,26.68000,8977000,1,1,26.69000,,30/09/2008,-0.021986,-0.098007,-0.099796,-0.120091,-0.122188,-0.090791
10107,31/10/2008,511210,,,,,,0,,,,,,,30/12/2008,,,,21.18000,26.48000,22.33000,30441987,-0.163357,22.41000,22.42000,8895573,1,1,22.33000,,31/10/2008,-0.163357,-0.184621,-0.186108,-0.205222,-0.206835,-0.169425
10107,28/11/2008,511210,22/09/2008,,,11/12/2008,20/11/2008,0,1232,0.13000,0.00000,0.00000,,,,,,,17.53000,23.53000,20.22000,17985595,-0.088670,20.23000,20.23000,8895573,1,1,20.22000,,28/11/2008,-0.094492,-0.084615,-0.087354,-0.130320,-0.132591,-0.074849
10107,31/12/2008,511210,,,,,,0,,,,,,,19/01/2009,,,,18.61000,21.01000,19.44000,15442392,-0.038576,19.44000,19.45000,8889000,1,1,19.44000,,31/12/2008,-0.038576,0.022148,0.019081,0.042176,0.037024,0.007822
10107,30/01/2009,511210,,,,,,0,,,,,,,30/03/2009,,,,17.10000,20.76000,17.10000,15618965,-0.120370,17.11000,17.12000,8890563,1,1,17.10000,,30/01/2009,-0.120370,-0.077323,-0.078717,-0.024042,-0.025384,-0.085657
10107,27/02/2009,511210,10/12/2008,,,12/03/2009,19/02/2009,0,1232,0.13000,0.00000,0.00000,,,,,,,16.15000,19.66000,16.15000,14630937,-0.047953,16.14000,16.15000,8890563,1,1,16.15000,,27/02/2009,-0.055556,-0.100214,-0.103401,-0.107667,-0.109769,-0.109931
10107,31/03/2009,511210,,,,,,0,,,,,,,19/04/2009,,,,15.15000,18.83000,18.37000,16364071,0.137461,18.33000,18.35000,8898000,1,1,18.37000,,31/03/2009,0.137461,0.086690,0.083432,0.107474,0.104391,0.085405
10107,30/04/2009,511210,,,,,,0,,,,,,,29/06/2009,,,,18.61000,20.91000,20.26000,15703150,0.102885,20.26000,20.27000,8899720,1,1,20.26000,,30/04/2009,0.102885,0.109359,0.107522,0.192762,0.190929,0.093925
10107,29/05/2009,511210,09/03/2009,,,18/06/2009,21/05/2009,0,1232,0.13000,0.00000,0.00000,,,,,,,19.32000,20.89000,20.89000,11077166,0.037512,20.89000,20.91000,8899720,1,1,20.89000,,29/05/2009,0.031096,0.067788,0.065138,0.102330,0.100210,0.053081
10107,30/06/2009,511210,,,,,,0,,,,,,,26/07/2009,,,,21.40000,24.07000,23.77000,14184830,0.137865,23.79000,23.80000,8908000,1,1,23.77000,,30/06/2009,0.137865,-0.003098,-0.005040,0.023921,0.021352,0.000196
10107,31/07/2009,511210,,,,,,0,,,,,,,03/09/2009,,,,22.39000,25.56000,23.52000,15253854,-0.010517,23.53000,23.55000,8910674,1,1,23.52000,,31/07/2009,-0.010517,0.081719,0.080298,0.085217,0.083763,0.074142
10107,31/08/2009,511210,10/06/2009,,,10/09/2009,20/08/2009,0,1232,0.13000,0.00000,0.00000,,,,,,,23.13000,24.69000,24.65000,10003985,0.053571,24.64000,24.67000,8910674,1,1,24.65000,,31/08/2009,0.048044,0.031459,0.029300,0.056864,0.055310,0.033560
10107,30/09/2009,511210,,,,,,0,,,,,,,18/10/2009,,,,23.86000,25.94000,25.72000,10433262,0.043408,25.81000,25.81000,8900000,1,1,25.72000,,30/09/2009,0.043408,0.045222,0.043582,0.071255,0.069383,0.035723
10107,30/10/2009,511210,,,,,,0,,,,,,,30/12/2009,,,,24.64000,28.68000,27.73000,15277741,0.078149,27.68000,27.73000,8879121,1,1,27.73000,,30/10/2009,0.078149,-0.027993,-0.029250,-0.050612,-0.051739,-0.019762
10107,30/11/2009,511210,18/09/2009,,,10/12/2009,19/11/2009,0,1232,0.13000,0.00000,0.00000,,,,,,,27.53000,30.11000,29.41000,10236442,0.065272,29.41000,29.42000,8879121,1,1,29.41000,,30/11/2009,0.060584,0.057098,0.054642,0.028476,0.026485,0.057364
10107,31/12/2009,511210,,,,,,0,,,,,,,24/01/2010,,,,29.57000,31.39000,30.48000,9238424,0.036382,30.48000,30.50000,8811000,1,1,30.48000,,31/12/2009,0.036382,0.028419,0.026392,0.055001,0.051972,0.017771
10107,29/01/2010,511210,,,,,,0,,,,,,,30/03/2010,,,,28.18000,31.10000,28.18000,13640561,-0.075459,28.16000,28.18000,8770461,1,1,28.18000,,29/01/2010,-0.075459,-0.037096,-0.038109,-0.011388,-0.012292,-0.036974
10107,26/02/2010,511210,09/12/2009,,,11/03/2010,18/02/2010,0,1232,0.13000,0.00000,0.00000,,,,,,,27.72000,28.96900,28.67000,10779015,0.022001,28.66000,28.67000,8770461,1,1,28.67000,,26/02/2010,0.017388,0.034774,0.032688,0.033603,0.032232,0.028514
10107,31/03/2010,511210,,,,,,0,,,,,,,18/04/2010,,,,28.46000,30.01000,29.28750,11181446,0.021538,29.26000,29.27000,8762000,1,1,29.28750,,31/03/2010,0.021538,0.063606,0.061920,0.069289,0.067252,0.058796
10107,30/04/2010,511210,,,,,,0,,,,,,,29/06/2010,,,,29.16000,31.39000,30.53500,13259805,0.042595,30.53000,30.54000,8763839,1,1,30.53500,,30/04/2010,0.042595,0.020043,0.018930,0.057843,0.056698,0.014759
10107,28/05/2010,511210,08/03/2010,,,10/06/2010,20/05/2010,0,1232,0.13000,0.00000,0.00000,,,,,,,25.01000,30.86000,25.80000,17259734,-0.150811,25.81000,25.81000,8763839,1,1,25.80000,,28/05/2010,-0.155068,-0.079136,-0.081224,-0.076929,-0.078435,-0.081976
10107,30/06/2010,511210,,,,,,0,,,,,,,19/07/2010,,,,23.01000,26.86000,23.01000,16793127,-0.108140,23.00000,23.01000,8653567,1,1,23.01000,,30/06/2010,-0.108140,-0.050725,-0.052465,-0.056799,-0.058868,-0.053882
10107,30/07/2010,511210,,,,,,0,,,,,,,02/09/2010,,,,23.16000,26.16000,25.81000,14132280,0.121686,25.79000,25.81000,8653567,1,1,25.81000,,30/07/2010,0.121686,0.070292,0.068594,0.059940,0.058682,0.068778
10107,31/08/2010,511210,16/06/2010,,,09/09/2010,19/08/2010,0,1232,0.13000,0.00000,0.00000,,,,,,,23.46500,26.33000,23.46500,12827745,-0.085819,23.47000,23.48000,8653567,1,1,23.46500,,31/08/2010,-0.090856,-0.042813,-0.044938,-0.047566,-0.049083,-0.047449
10107,30/09/2010,511210,,,,,,0,,,,,,,21/10/2010,,,,23.85000,25.43000,24.49000,12779695,0.043682,24.47000,24.48000,8562000,1,1,24.49000,,30/09/2010,0.043682,0.091518,0.089635,0.096418,0.094485,0.087551
10107,29/10/2010,511210,,,,,,0,,,,,,,30/12/2010,,,,23.91000,26.66500,26.66500,12854487,0.088812,26.64000,26.67000,8555523,1,1,26.66500,,29/10/2010,0.088812,0.038531,0.037009,0.040681,0.039488,0.036856
10107,30/11/2010,511210,21/09/2010,,,09/12/2010,18/11/2010,0,1232,0.16000,0.00000,0.00000,,,,,,,25.12000,27.39000,25.25750,14174423,-0.046784,25.22000,25.23000,8555523,1,1,25.25750,,30/11/2010,-0.052785,0.005108,0.002908,0.010736,0.008972,-0.002290
10107,31/12/2010,511210,,,,,,0,,,,,,,20/01/2011,,,,26.04000,28.30000,27.91000,10367260,0.105018,27.90000,27.92000,8403000,1,1,27.91000,,31/12/2010,0.105018,0.067150,0.064817,0.068851,0.065469,0.065300
10107,31/01/2011,511210,,,,,,0,,,,,,,30/03/2011,,,,27.72500,28.87000,27.72500,13658100,-0.006628,27.72000,27.73000,8402382,1,1,27.72500,,31/01/2011,-0.006628,0.019157,0.018203,0.014412,0.013611,0.022646
10107,28/02/2011,511210,15/12/2010,,,10/03/2011,17/02/2011,0,1232,0.16000,0.00000,0.00000,,,,,,,26.55000,28.28250,26.58000,11176358,-0.035528,26.58000,26.59000,8402382,1,1,26.58000,,28/02/2011,-0.041298,0.038165,0.036232,0.037036,0.035725,0.031957
10107,31/03/2011,511210,,,,,,0,,,,,,,20/04/2011,,,,24.78000,26.20000,25.39000,13148095,-0.044771,25.36000,25.38000,8431000,1,1,25.39000,,31/03/2011,-0.044771,0.003366,0.001781,0.008605,0.006786,-0.001047
10107,29/04/2011,511210,,,,,,0,,,,,,,29/06/2011,,,,25.08000,26.71000,25.92000,13175516,0.020874,26.01000,26.00000,8432767,1,1,25.92000,,29/04/2011,0.020874,0.028688,0.027573,0.019203,0.018109,0.028495
10107,31/05/2011,511210,14/03/2011,,,09/06/2011,19/05/2011,0,1232,0.16000,0.00000,0.00000,,,,,,,24.15000,26.06000,25.01000,13677186,-0.028935,25.01000,25.02000,8432767,1,1,25.01000,,31/05/2011,-0.035108,-0.014935,-0.016942,-0.018549,-0.020191,-0.013501
10107,30/06/2011,511210,,,,,,0,,,,,,,19/07/2011,,,,23.70500,26.00000,26.00000,13005667,0.039584,25.98000,25.99000,8376000,1,1,26.00000,,30/06/2011,0.039584,-0.018395,-0.020161,-0.024106,-0.026251,-0.018258
10107,29/07/2011,511210,,,,,,0,,,,,,,01/09/2011,,,,26.02000,28.08000,27.40000,12628983,0.053846,27.39000,27.40000,8378266,1,1,27.40000,,29/07/2011,0.053846,-0.022470,-0.023611,-0.021813,-0.022838,-0.021474
10107,31/08/2011,511210,15/06/2011,,,08/09/2011,18/08/2011,0,1232,0.16000,0.00000,0.00000,,,,,,,23.98000,27.27000,26.60000,17248617,-0.023358,26.59000,26.59000,8378266,1,1,26.60000,,31/08/2011,-0.029197,-0.057472,-0.059612,-0.075715,-0.077329,-0.056791
10107,30/09/2011,511210,,,,,,0,,,,,,,16/10/2011,,,,24.89000,27.21000,24.89000,12834491,-0.064286,24.89000,24.90000,8410000,1,1,24.89000,,30/09/2011,-0.064286,-0.084873,-0.086564,-0.100920,-0.102888,-0.071762
10107,31/10/2011,511210,,,,,,0,,,,,,,29/12/2011,,,,24.53000,27.31000,26.63000,12223185,0.069908,26.62000,26.63000,8412182,1,1,26.63000,,31/10/2011,0.069908,0.113977,0.112566,0.107697,0.106575,0.107723
10107,30/11/2011,511210,20/09/2011,,,08/12/2011,17/11/2011,0,1232,0.20000,0.00000,0.00000,,,,,,,24.30000,27.16000,25.58000,10497537,-0.031919,25.55000,25.56000,8412182,1,1,25.58000,,30/11/2011,-0.039429,-0.006226,-0.008893,-0.020645,-0.022480,-0.005059
10107,30/12/2011,511210,,,,,,0,,,,,,,16/01/2012,,,,25.22000,26.04000,25.96000,10098074,0.014855,25.96000,25.97000,8390771,1,1,25.96000,,30/12/2011,0.014855,0.003702,0.001454,-0.003561,-0.007020,0.008533
10107,31/01/2012,511210,,,,,,0,,,,,,,29/03/2012,,,,26.76500,29.73000,29.53000,13601072,0.137519,29.53000,29.54000,8390771,1,1,29.53000,,31/01/2012,0.137519,0.054076,0.052929,0.085342,0.084432,0.043583
10107,29/02/2012,511210,14/12/2011,,,08/03/2012,16/02/2012,0,1232,0.20000,0.00000,0.00000,,,,,,,29.89000,31.87000,31.74000,9870347,0.081612,31.73000,31.74000,8390771,1,1,31.74000,,29/02/2012,0.074839,0.041186,0.038914,0.036494,0.035003,0.040589
10107,30/03/2012,511210,,,,,,0,,,,,,,16/04/2012,,,,31.55500,32.85000,32.25500,9445449,0.016226,32.24000,32.25000,8400000,1,1,32.25500,,30/03/2012,0.016226,0.023994,0.022110,0.017608,0.015303,0.031332
10107,30/04/2012,511210,,,,,,0,,,,,,,28/06/2012,,,,30.34500,32.42000,32.01500,9337134,-0.007441,32.01000,32.02000,8400866,1,1,32.01500,,30/04/2012,-0.007441,-0.006801,-0.008019,-0.009106,-0.010235,-0.007497
10107,31/05/2012,511210,13/03/2012,,,14/06/2012,17/05/2012,0,1232,0.20000,0.00000,0.00000,,,,,,,29.06000,32.01000,29.19000,10123951,-0.081993,29.19000,29.20000,8400866,1,1,29.19000,,31/05/2012,-0.088240,-0.065531,-0.067942,-0.068434,-0.070404,-0.062651
10107,29/06/2012,511210,,,,,,0,,,,,,,17/07/2012,,,,28.45000,30.93000,30.59000,9679085,0.047962,30.58000,30.59000,8381000,1,1,30.59000,,29/06/2012,0.047962,0.038156,0.036055,0.034188,0.031622,0.039555
10107,31/07/2012,511210,,,,,,0,,,,,,,13/09/2012,,,,28.63000,30.76000,29.47000,8415185,-0.036613,29.45000,29.46000,8383397,1,1,29.47000,,31/07/2012,-0.036613,0.010266,0.009012,-0.003281,-0.004484,0.012598
10107,31/08/2012,511210,13/06/2012,,,13/09/2012,16/08/2012,0,1232,0.20000,0.00000,0.00000,,,,,,,29.19000,30.90000,30.82000,6689457,0.052596,30.81000,30.82000,8383397,1,1,30.82000,,31/08/2012,0.045809,0.026265,0.023665,0.024820,0.022964,0.019763
10107,28/09/2012,511210,,,,,,0,,,,,,,14/10/2012,,,,29.76000,31.45000,29.76000,8907887,-0.034393,29.75000,29.76000,8422000,1,1,29.76000,,28/09/2012,-0.034393,0.026539,0.024597,0.034925,0.032690,0.024236
10107,31/10/2012,511210,,,,,,0,,,,,,,30/12/2012,,,,27.88000,30.03000,28.54000,11047390,-0.040995,28.53000,28.54000,8416462,1,1,28.54000,,31/10/2012,-0.040995,-0.014101,-0.015550,-0.013477,-0.014781,-0.019789
10107,30/11/2012,511210,18/09/2012,,,13/12/2012,15/11/2012,0,1232,0.23000,0.00000,0.00000,,,,,,,26.52090,29.86000,26.61500,12895966,-0.059390,26.59000,26.60000,8416462,1,1,26.61500,,30/11/2012,-0.067449,0.006193,0.002953,0.002790,0.000142,0.002847
10107,31/12/2012,511210,,,,,,0,,,,,,,17/01/2013,,,,26.37000,27.68000,26.70970,9389131,0.003558,26.72000,26.73000,8374000,1,1,26.70970,,31/12/2012,0.003558,0.012531,0.008980,0.021872,0.016406,0.007068
10107,31/01/2013,511210,,,,,,0,,,,,,,27/03/2013,,,,26.46000,28.01000,27.45000,11363418,0.027717,27.46000,27.47000,8376245,1,1,27.45000,,31/01/2013,0.027717,0.054094,0.052887,0.063509,0.062680,0.050428
10107,28/02/2013,511210,28/11/2012,,,14/03/2013,21/02/2013,0,1232,0.23000,0.00000,0.00000,,,,,,,27.28300,28.04500,27.80000,7736797,0.021129,27.77000,27.78000,8376245,1,1,27.80000,,28/02/2013,0.012750,0.008332,0.006128,0.003500,0.002060,0.011061
10107,28/03/2013,511210,,,,,,0,,,,,,,10/04/2013,,,,27.87000,28.60500,28.60500,8372531,0.028957,28.60000,28.61000,8349000,1,1,28.60500,,28/03/2013,0.028957,0.035274,0.033509,0.031419,0.029529,0.035988
10107,30/04/2013,511210,,,,,,0,,,,,,,27/06/2013,,,,28.56000,33.10000,33.10000,14536561,0.157140,33.09000,33.10000,8351107,1,1,33.10000,,30/04/2013,0.157140,0.014945,0.013768,0.002477,0.001376,0.018086
10107,31/05/2013,511210,11/03/2013,,,13/06/2013,16/05/2013,0,1232,0.23000,0.00000,0.00000,,,,,,,32.66000,35.08000,34.90000,10663668,0.061329,34.88000,34.88000,8351107,1,1,34.90000,,31/05/2013,0.054381,0.019067,0.016509,0.023985,0.022131,0.020763
10107,28/06/2013,511210,,,,,,0,,,,,,,17/07/2013,,,,33.26500,35.67000,34.54500,9394212,-0.010172,34.53000,34.54000,8328000,1,1,34.54500,,28/06/2013,-0.010172,-0.015039,-0.017055,-0.013012,-0.015631,-0.014999
