ewretx,sprtrn,ewretd,vwretx,vwretd,SHRENDDT,ALTPRCDT,pe_op_basic,pe_op_dil,CAPEI,RETX,RET,divyield,VOL,pe_exi,pcf,pe_inc,PEG_ltgforward,ps,ptb
0.10021,0.053081,0.10233,0.065138,0.067788,20090629.0,20090529.0,12.368,12.536,14.433,0.053475999999999996,0.062834,0.0355,2572865.0,12.07,10.437,12.07,1.52,2.4290000000000003,3.357
0.083763,0.074142,0.085217,0.08029800000000001,0.081719,20090830.0,20090731.0,12.623,12.882,13.47,0.076725,0.076725,0.0139,2816600.0,13.652,10.99,13.652,1.868,1.284,1.31
0.023661,0.035794,0.025364,0.039332,0.040849,20071030.0,20070928.0,17.948,17.582,19.656,0.030297,0.037870999999999995,0.0294,1907274.0,23.495,22.962,23.495,2.214,4.805,5.757999999999999
0.024591,0.044596,0.025762,0.038565,0.039852,20131128.0,20131031.0,54.312,54.312,41.351000000000006,0.082164,0.093519,0.042,3861739.0,93.537,4.333,93.537,8.307,1.222,2.419
0.006786,-0.001047,0.008605,0.0017809999999999996,0.003366,20110428.0,20110331.0,4.485,4.56,17.89,-0.149725,-0.146243,0.016399999999999998,1062864.0,4.56,12.082,4.56,0.42,1.483,2.9560000000000004
-0.023752,0.005086,-0.022698,-0.002927,-0.001884,20060907.0,20060731.0,20.318,20.552,32.27,-0.084485,-0.084485,0.0254,8711526.0,20.318,13.512,20.318,1.483,4.001,4.401
-0.020095,-0.031041000000000006,-0.019073,-0.028223,-0.027152,20150226.0,20150130.0,20.117,20.968000000000004,21.081,-0.074651,-0.06758600000000001,0.0305,1707166.0,22.24,14.640999999999998,23.03,2.915,2.877,2.9730000000000003
-0.012292,-0.036974,-0.011388,-0.038109,-0.037096,20100225.0,20100129.0,23.745,23.963,10.841,-0.083348,-0.075978,0.0322,2216486.0,24.298,5.39,24.298,2.43,0.8690000000000001,4.079
-0.009856,-0.017816,-0.007906,-0.016117,-0.014754,20070730.0,20070629.0,14.446,14.446,21.927,-0.069844,-0.069844,0.0454,8796424.0,17.757,12.064,9.873,3.435,3.671,2.251
-0.023436,0.006201,-0.022319,0.000496,0.001661,20140529.0,20140430.0,20.254,20.479,27.436,0.028130000000000002,0.028130000000000002,0.0226,779880.0,21.648000000000003,11.503,21.648000000000003,2.094,1.086,6.325
0.037053,0.019058,0.039501,0.025957,0.027941000000000004,20140730.0,20140630.0,14.783,15.028,16.506,0.026623,0.031332,0.0183,756275.0,15.028,10.904000000000002,15.028,1.813,0.647,2.33
