pe_op_dil,CAPEI,pe_op_basic,divyield,pe_exi,pcf,ptb,PEG_ltgforward,bm,evm,ps,pe_inc,PEG_1yrforward,PEG_trailing,dpr,GProf,roe,short_debt,invt_act,roce
20.552,32.27,20.318,0.0254,20.318,13.512,4.401,1.483,0.191,14.553,4.001,20.318,1.168,0.813,0.0,0.532,0.244,0.0,0.066,0.311
20.968000000000004,21.081,20.117,0.0305,22.24,14.640999999999998,2.9730000000000003,2.915,0.338,13.748,2.877,23.03,-36.76300000000001,16.867,0.677,0.29600000000000004,0.13699999999999998,0.423,0.245,0.146
23.963,10.841,23.745,0.0322,24.298,5.39,4.079,2.43,0.25,8.94,0.8690000000000001,24.298,-0.377,0.98,0.77,0.18,0.18,0.316,0.268,0.105
14.446,21.927,14.446,0.0454,17.757,12.064,2.251,3.435,0.45,9.375,3.671,9.873,4.064,0.08900000000000001,0.695,0.39,0.131,0.348,0.14400000000000002,0.195
20.479,27.436,20.254,0.0226,21.648000000000003,11.503,6.325,2.094,0.146,13.367,1.086,21.648000000000003,4.937,2.029,0.359,0.166,0.442,0.162,0.659,0.334
15.028,16.506,14.783,0.0183,15.028,10.904000000000002,2.33,1.813,0.426,8.316,0.647,15.028,27.551,1.817,0.202,0.375,0.163,0.107,0.0,0.195
13.049,15.409,12.849,0.0194,12.703,8.396,7.9129999999999985,1.131,0.135,8.217,1.711,12.703,0.993,0.7090000000000001,0.214,0.476,0.71,0.188,0.056,0.387
10.695,11.662,10.538,0.0348,10.898,8.032,3.268,0.964,0.258,8.545,1.536,10.898,3.015,0.908,0.369,0.509,0.314,0.294,0.285,0.33
7.689,7.761,7.601,0.063,9.881,6.259,1.172,0.933,0.6509999999999999,8.254,0.418,9.845,-0.476,0.98,0.616,0.183,0.13,0.244,0.37,0.127
19.804,23.732,19.562,0.0252,18.044,12.505,12.390999999999998,1.457,0.076,10.755999999999998,1.06,18.044,-31.035,1.3869999999999998,0.381,0.172,0.45,0.118,0.7120000000000001,0.353
6.436,298.053,6.412000000000001,0.0062,11.064,25.319000000000006,1.17,0.555,0.619,13.53,4.533,11.064,0.453,0.98,0.261,0.108,0.047,0.392,0.0,0.157
29.525,12.634,29.525,0.0207,24.709,10.796,3.087,1.83,0.486,26.043000000000006,1.466,26.595,-0.46,0.98,0.745,0.029,0.159,0.16699999999999998,0.152,0.032
8.487,10.161,8.447000000000001,0.0336,8.158,1.281,0.75,1.16,1.033,13.003,1.236,8.158,-2.436,0.057,0.312,0.039,0.105,0.507,0.152,0.067
14.201,16.836,13.983,0.0154,14.201,16.077,2.181,1.349,0.588,7.049,0.654,14.201,3.946,0.996,0.163,0.365,0.175,0.139,0.0,0.208
15.991,18.913,15.515,0.0322,13.47,7.615,2.893,1.663,0.425,9.042,1.168,13.47,2.6180000000000003,0.295,0.562,0.193,0.243,0.08900000000000001,0.326,0.156
12.316,14.753,12.111,0.0312,11.848,8.587,1.907,1.414,0.488,9.586,2.3,11.848,-7.978,0.934,0.35200000000000004,0.32299999999999995,0.17600000000000002,0.152,0.024,0.163
17.112000000000002,17.569000000000006,16.334,0.0315,17.112000000000002,9.909,2.258,2.082,0.428,10.3,2.253,14.58,-5.607,2.422,0.509,0.32299999999999995,0.146,0.333,0.307,0.16399999999999998
20.753,21.249,20.465,0.0127,20.753,14.012,3.268,2.146,0.358,9.805,0.865,20.753,2.366,3.204,0.242,0.387,0.16399999999999998,0.08,0.0,0.208
6.079,30.205,6.051,0.0075,6.079,14.101,3.343,0.35700000000000004,0.239,15.928,8.449,6.079,0.327,0.069,0.175,0.226,0.17800000000000002,0.194,0.0,0.292
28.421,60.087,28.322,0.0062,26.129,68.256,1.411,1.32,0.525,13.424,5.511,26.129,1.192,0.98,0.135,0.119,0.174,0.214,0.0,0.162
2.802,51.8,2.757,0.0254,2.793,14.335,5.3889999999999985,0.134,0.202,11.038,4.245,2.793,0.054000000000000006,0.047,0.0,0.433,0.369,0.194,0.023,0.518
14.74,14.652,14.674,0.0304,14.74,9.007,2.785,1.091,0.337,8.522,0.748,14.74,0.935,1.766,0.438,0.5660000000000001,0.188,0.052000000000000005,0.728,0.214
14.389,16.336,14.188,0.0161,14.052,10.099,8.427999999999999,1.288,0.13,8.857999999999997,1.977,14.052,1.038,0.818,0.214,0.453,0.638,0.237,0.051,0.373
21.332,26.322,20.946,0.0104,21.254,10.21,6.645,1.715,0.162,20.957,2.624,20.213,1.183,2.612,0.17600000000000002,0.047,0.282,0.353,0.152,0.087
14.722,15.851,14.5,0.0254,14.722,11.64,3.551,1.439,0.337,9.171,2.062,14.722,5.291,2.04,0.363,0.477,0.261,0.206,0.268,0.279
20.866,28.653,20.759,0.0232,20.653,14.765,8.757,1.269,0.116,11.289,1.395,20.653,1.195,0.884,0.417,0.65,0.369,0.046,0.6709999999999999,0.325
12.054,26.373,11.921,0.0199,12.054,9.826,3.784,0.583,0.211,10.72,3.193,12.054,1.13,0.173,0.06,0.408,0.385,0.194,0.014,0.5670000000000001
16.005,20.236,15.923,0.0519,15.605,3.774,1.386,4.603,0.6609999999999999,6.0760000000000005,1.246,12.144,-39.949,0.484,0.8079999999999999,0.269,0.092,0.18,0.094,0.156
15.466,30.075,15.136,0.0097,15.466,22.682,6.115,1.218,0.16399999999999998,15.92,2.357,15.466,0.7290000000000001,0.98,0.285,0.747,0.258,0.123,0.28600000000000003,0.307
3.562,57.374,3.506,0.0254,3.562,14.966,6.3210000000000015,0.195,0.211,9.798,4.399,3.562,0.3670000000000001,0.068,0.0,0.35700000000000004,0.3,0.194,0.011,0.4320000000000001
5.443,19.451,5.3420000000000005,0.0163,5.478,15.859000000000002,3.705,0.685,0.229,13.992,1.557,5.597,0.508,0.335,0.29100000000000004,0.7170000000000001,0.218,0.423,0.3,0.282
10.353,8.752,10.282,0.0408,10.353,6.271,1.115,-5.984,0.8390000000000001,6.5360000000000005,1.026,10.353,-0.166,0.98,0.412,0.162,0.111,0.136,0.154,0.112
18.054,20.34,17.807000000000006,0.0218,17.13,14.267,3.641,1.901,0.275,12.091,1.847,16.549,6.49,2.355,0.336,0.203,0.189,0.128,0.34,0.159
7.065,9.463,6.586,0.009000000000000001,7.065,10.262999999999998,1.233,0.406,0.7120000000000001,21.781,1.555,7.065,-0.433,0.063,0.048,0.033,0.203,0.611,0.152,0.207
22.242,30.435,22.075,0.0136,23.302,20.418,7.995,1.997,0.134,14.175999999999998,6.364,23.302,1.644,1.077,0.277,0.568,0.29600000000000004,0.194,0.033,0.44
18.388,23.537,18.062,0.0226,18.062,16.265,5.4620000000000015,1.611,0.2,9.884,2.67,18.224,2.748,1.121,0.392,0.565,0.311,0.556,0.309,0.383
28.933000000000003,24.823,28.297,0.0175,26.546,13.72,3.766,1.463,0.289,10.662,4.181,26.546,0.878,0.98,0.429,0.464,0.157,0.08800000000000001,0.236,0.173
7.09,9.739,7.03,0.0301,7.09,1.847,0.7240000000000001,0.867,1.525,12.941,1.089,7.09,0.493,0.113,0.202,0.042,0.118,0.526,0.152,0.069
10.24,14.791,10.177,0.0279,10.165,7.436,2.027,1.172,0.439,5.645,0.923,10.165,1.919,0.64,0.267,0.285,0.212,0.285,0.133,0.297
9.036,13.796,8.99,0.0723,11.353,7.449,1.634,11.13,0.588,7.356,2.446,11.353,1.388,0.471,0.7959999999999999,0.37,0.14300000000000002,0.528,0.106,0.192
-106.27,11.591,-115.13,0.0217,-17.712,10.822,1.75,-1.389,0.606,10.696,0.731,-19.188,-0.237,0.98,2.687,0.129,-0.073,0.14800000000000002,0.371,0.033
9.302,12.409,9.201,0.0313,9.302,7.883999999999999,3.5610000000000004,0.836,0.289,7.664,3.026,9.302,3.575,0.56,0.23,0.5660000000000001,0.447,0.0,0.02,0.436
14.149,13.878,13.683,0.0289,14.394,7.7120000000000015,2.64,1.599,0.34600000000000003,7.727,2.819,14.394,5.542000000000002,69.447,0.377,0.477,0.191,0.116,0.154,0.221
14.953,20.145,14.449000000000002,0.0171,14.953,10.709,6.252999999999999,1.518,0.142,12.037,4.052,14.953,1.001,0.7959999999999999,0.24,0.7170000000000001,0.495,0.194,0.025,0.664
2.6660000000000004,50.68600000000001,2.6260000000000003,0.0254,2.659,13.673,5.353,0.124,0.21,10.355,4.14,2.659,0.041,0.042,0.0,0.442,0.388,0.194,0.023,0.5489999999999999
38.069,12.345999999999998,36.439,0.008199999999999999,38.069,45.933,1.558,3.0460000000000003,0.722,16.287,1.624,38.069,0.127,0.98,0.315,0.039,0.054000000000000006,0.627,0.152,0.052000000000000005
2.241,42.931,2.215,0.0159,2.241,12.015,5.015,0.097,0.228,8.236,4.21,2.241,0.037000000000000005,0.029,0.0,0.482,0.428,0.194,0.021,0.626
16.343,22.282,16.174,0.0352,16.132,11.53,4.703,1.731,0.233,9.901,3.016,16.132,1.973,0.363,0.509,0.335,0.306,0.023,0.03,0.269
7.445,11.27,7.252000000000002,0.023,7.347,5.766,1.146,0.816,0.787,5.403,1.17,7.347,-0.685,0.105,0.161,0.086,0.17800000000000002,0.104,0.152,0.208
12.604,25.177,12.31,0.013,12.604,19.276,4.607,1.004,0.161,14.367,1.988,11.837,1.192,0.98,0.281,0.705,0.248,0.157,0.265,0.309
14.875,14.482,14.715,0.0128,16.195,11.129,1.3769999999999998,3.027,0.87,8.1,1.4240000000000002,16.195,-0.721,1.671,0.204,0.114,0.09,0.179,0.151,0.118
12.797,15.038,12.525,0.0291,13.019,6.829,3.034,1.2,0.33,8.671,0.8859999999999999,13.019,-0.451,0.237,0.321,0.217,0.242,0.33,0.365,0.142
16.657,20.846,16.327,0.0121,16.381,10.4,2.057,1.307,0.4920000000000001,8.185,2.117,16.381,0.7709999999999999,0.762,0.195,0.14400000000000002,0.135,0.205,0.161,0.166
7.71,10.584,7.187,0.008199999999999999,7.71,10.262999999999998,1.378,0.414,0.7120000000000001,21.781,1.74,7.71,-0.447,0.068,0.048,0.033,0.203,0.611,0.152,0.207
23.895,33.235,23.584,0.0106,24.214,17.727999999999994,3.804,1.6840000000000002,0.303,11.4,3.703,24.214,1.773,1.248,0.192,0.194,0.16,0.229,0.154,0.2
14.334,16.160999999999998,14.089,0.0259,14.587,11.3,2.969,1.141,0.28300000000000003,9.505,1.212,14.39,0.96,4.106,0.326,0.279,0.22,0.111,0.337,0.236
13.035,16.932000000000002,12.884,0.015700000000000002,12.903,9.835,3.457,1.693,0.279,6.9510000000000005,1.452,12.903,1.921,0.507,0.193,0.368,0.28800000000000003,0.225,0.154,0.444
17.04,20.464,16.78,0.0214,16.141,13.18,2.947,1.457,0.354,11.857,1.682,16.188,1.496,1.672,0.329,0.209,0.197,0.064,0.35100000000000003,0.165
20.495,23.955,20.093,0.0146,23.831,11.724,2.513,3.404,0.48,11.019,0.8959999999999999,23.831,0.782,0.133,0.344,0.15,0.125,0.135,0.298,0.081
10.316,11.739,10.23,0.0261,11.584,6.244,1.078,1.625,0.912,14.352,2.238,11.584,1.304,1.629,0.302,0.035,0.106,0.525,0.152,0.069
17.314,19.736,17.146,0.0238,15.591,22.865,13.35,1.338,0.07200000000000001,9.598,0.816,15.591,5.655,0.583,0.368,0.212,1.021,0.08800000000000001,0.585,0.295
11.184,9.822,11.184,0.0325,11.184,7.903,1.669,-9.725,0.55,8.126,0.977,11.184,-0.231,0.98,0.35600000000000004,0.188,0.152,0.6,0.315,0.17
17.912,22.315,17.542,0.0282,25.408,17.652,3.727,3.976,0.308,10.093,3.829,25.408,3.702,0.98,0.647,0.422,0.16,0.311,0.171,0.219
14.918,16.14,14.712,0.0266,15.571,14.071,2.792,1.483,0.387,11.654000000000002,1.501,14.849,-1.931,4.832,0.389,0.199,0.17800000000000002,0.142,0.317,0.159
18.091,15.776,18.012999999999995,0.0048,18.737,1.368,1.061,2.342,0.957,21.089,1.442,18.571,0.5379999999999999,0.5589999999999999,0.094,0.034,0.08,0.633,0.152,0.044
14.052,16.398,13.805,0.0345,22.554,12.519,3.114,3.655,0.337,10.108,3.01,22.554,14.095999999999998,0.98,0.727,0.417,0.14,0.326,0.132,0.206
4.069,16.275,4.017,0.0161,5.113,11.668,2.679,0.422,0.337,9.352,1.314,5.113,-1.146,0.98,0.319,0.67,0.18,0.403,0.256,0.268
22.161,30.889,20.983,0.0196,22.477,16.564,2.572,1.939,0.382,12.811,2.708,22.477,1.5219999999999998,0.98,0.443,0.299,0.125,0.13699999999999998,0.264,0.146
19.919,26.973000000000006,19.7,0.0233,21.055,11.309,6.218,2.0380000000000003,0.146,13.367,1.068,21.055,4.802,1.973,0.359,0.166,0.442,0.162,0.659,0.334
16.682000000000002,19.407,16.384,0.0131,16.442,10.934,1.98,1.2819999999999998,0.518,8.182,1.968,16.442,0.928,1.093,0.208,0.138,0.126,0.237,0.16399999999999998,0.158
17.962,18.78,17.584,0.0221,18.481,6.3610000000000015,3.341,1.443,0.327,8.774,1.218,18.481,2.432,3.995,0.39,0.213,0.204,0.321,0.336,0.133
13.595999999999998,27.267,13.061,0.0181,13.652,10.703,5.04,1.162,0.177,9.681,1.126,13.652,0.378,0.573,0.198,0.267,0.406,0.404,0.248,0.16899999999999998
20.694000000000006,19.652,20.382,0.0325,25.35,16.692,4.928,5.205,0.195,18.14,3.852,25.35,-8.619,0.98,0.754,0.326,0.189,0.5429999999999999,0.094,0.14800000000000002
13.685,22.156,13.5,0.02,14.271,7.841,3.151,0.995,0.25,8.993,2.9930000000000003,14.271,-0.454,0.302,0.226,0.57,0.227,0.129,0.147,0.313
2.094,19.469,2.046,0.0146,2.094,10.668,2.725,0.154,0.275,9.566,1.153,2.094,0.117,0.084,0.193,0.748,0.242,0.274,0.281,0.324
8.026,11.634,7.957999999999998,0.0266,8.026,19.742,0.836,0.855,1.094,13.467,1.264,8.026,0.306,0.026,0.158,0.043,0.121,0.537,0.152,0.069
17.879,14.931,17.879,0.0181,14.767,6.247999999999998,3.305,1.538,0.304,18.584,1.702,14.767,0.128,1.3730000000000002,0.269,0.045,0.236,0.078,0.152,0.068
15.347,17.868,15.142,0.0156,15.213,11.431,10.023,1.518,0.108,8.953,2.099,15.213,1.001,1.064,0.218,0.489,0.6829999999999999,0.246,0.054000000000000006,0.395
15.229,14.726,15.112,0.0122,17.083,9.833,2.239,2.122,0.474,10.373,2.416,17.083,1.845,0.98,0.155,0.338,0.13699999999999998,0.07400000000000001,0.028,0.139
20.689,19.647,20.377,0.0326,25.344,16.688,4.927,5.204,0.195,18.14,3.851,25.344,-10.34,0.98,0.754,0.326,0.189,0.5429999999999999,0.094,0.14800000000000002
9.824,12.459,9.618,0.0283,9.824,8.045,4.7410000000000005,0.961,0.2,9.051,2.637,9.824,-1.531,0.5479999999999999,0.244,0.7609999999999999,0.486,1.0,0.027000000000000003,0.6509999999999999
9.544,17.769000000000005,9.517,0.0451,7.033,25.968000000000004,1.815,1.227,0.4970000000000001,9.453,3.139,7.033,1.633,0.207,0.33,0.337,0.361,0.158,0.166,0.17800000000000002
16.771,16.158,16.062,0.0325,16.771,13.723,2.324,1.912,0.44,11.456,2.153,16.387999999999998,2.76,7.4,0.542,0.326,0.15,0.326,0.343,0.156
10.579,18.908,10.321,0.0298,11.436,8.113,2.44,0.893,0.452,5.756,2.762,11.436,0.07200000000000001,0.113,0.322,0.574,0.247,0.106,0.126,0.343
