RET,RETX,sprtrn,ewretx,vwretx,ewretd,pe_inc,pe_op_dil,ALTPRC,debt_ebitda,cash_ratio,ps,SHRENDDT,VOL,int_debt
-0.084485,-0.084485,0.005086,-0.023752,-0.002927,-0.022698,20.318,20.552,17.88,0.193,1.386,4.001,20060907.0,8711526.0,0.038
-0.06758600000000001,-0.074651,-0.031041000000000006,-0.020095,-0.028223,-0.019073,23.03,20.968000000000004,84.29,1.899,0.309,2.877,20150226.0,1707166.0,0.035
-0.075978,-0.083348,-0.036974,-0.012292,-0.038109,-0.011388,24.298,23.963,52.24,5.19,0.171,0.8690000000000001,20100225.0,2216486.0,0.064
-0.069844,-0.069844,-0.017816,-0.009856,-0.016117,-0.007906,9.873,14.446,25.57,0.398,1.074,3.671,20070730.0,8796424.0,0.129
0.028130000000000002,0.028130000000000002,0.006201,-0.023436,0.000496,-0.022319,21.648000000000003,20.479,129.02,1.154,0.29600000000000004,1.086,20140529.0,779880.0,0.064
0.031332,0.026623,0.019058,0.037053,0.025957,0.039501,15.028,15.028,81.75,1.5319999999999998,0.349,0.647,20140730.0,756275.0,0.046
0.089418,0.089418,0.087551,0.094485,0.089635,0.096418,12.703,13.049,134.14,1.141,0.373,1.711,20101028.0,1161902.0,0.046
-0.140296,-0.140296,0.007821999999999999,0.037024,0.019081,0.042176,10.898,10.695,57.54,0.877,0.412,1.536,20090129.0,1457920.0,0.054000000000000006
-0.160478,-0.160478,-0.169425,-0.206835,-0.186108,-0.205222,9.845,7.689,26.68,1.778,0.14400000000000002,0.418,20081127.0,3499804.0,0.084
0.039288,0.039288,0.019742,-0.028387,0.010881,-0.027144,18.044,19.804,144.17,0.931,0.202,1.06,20150830.0,701387.0,0.062
0.04395,0.042334,0.053081,0.10021,0.065138,0.10233,11.064,6.436,67.71,0.029,1.2009999999999998,4.533,20090629.0,1987172.0,1.828
0.027729000000000004,0.027729000000000004,-0.019762,-0.051739,-0.02925,-0.050612,26.595,29.525,34.84,18.269,0.4785,1.466,20091129.0,2878479.0,0.012
0.077828,0.077828,0.039555,0.031622000000000004,0.036055,0.034188,8.158,8.487,35.73,10.321,0.4785,1.236,20120730.0,10339928.0,0.052000000000000005
0.112553,0.112553,0.049462,0.05372,0.051244000000000005,0.054898,14.201,14.201,72.85,1.449,0.476,0.654,20130829.0,1165502.0,0.051
0.008903,0.008903,0.000505,0.005435,0.000176,0.007333,13.47,15.991,52.13,2.2880000000000003,0.516,1.168,20151230.0,1744078.0,0.065
-0.005021,-0.005021,0.043117,0.042687,0.043937,0.044257,11.848,12.316,21.8,1.144,2.322,2.3,20140424.0,9528982.0,0.042
-0.017214,-0.017214,-0.081976,-0.078435,-0.081224,-0.076929,14.58,17.112000000000002,61.09,1.686,0.189,2.253,20100629.0,3208590.0,0.048
0.044311,0.041010000000000005,-0.017396000000000002,-0.007204,-0.012255,-0.005111999999999999,20.753,20.753,118.29,1.481,0.302,0.865,20150429.0,832449.0,0.04
0.009052,0.007156,0.037655,0.032156,0.038183,0.033697000000000005,6.079,6.079,212.52,0.0,1.149,8.449,20140929.0,450162.0,0.052000000000000005
0.07081599999999999,0.06916599999999999,0.057364,0.026485,0.054642,0.028476,26.129,28.421,81.0,0.015,1.571,5.511,20091230.0,901713.0,2.323
0.004656,0.004656,0.028495,0.018109,0.027573,0.019203,2.793,2.802,350.13,0.0,1.383,4.245,20110623.0,3437440.0,0.052000000000000005
-0.015279,-0.015279,-0.071762,-0.102888,-0.086564,-0.10092,14.74,14.74,32.87,1.317,0.14400000000000002,0.748,20111030.0,2806189.0,0.054000000000000006
0.0032719999999999997,-0.000741,0.031957,0.035725,0.036232,0.037036,14.052,14.389,161.88,1.214,0.287,1.977,20110330.0,891022.0,0.042
0.033524,0.030849,0.031508,0.045186,0.036087,0.046211,20.213,21.332,57.81,8.821,0.4785,2.624,20061129.0,1418270.0,0.008
0.06093200000000001,0.06093200000000001,0.043583,0.08443200000000001,0.052929,0.085342,14.722,14.722,86.71,0.7829999999999999,0.735,2.062,20120228.0,702895.0,0.042
0.014957,0.009099,0.019058,0.037053,0.025957,0.039501,20.653,20.866,80.96,1.325,0.257,1.395,20140730.0,1296826.0,0.053
-0.090738,-0.090738,0.007068000000000001,0.016406,0.00898,0.021872,12.054,12.054,532.17291,0.0,0.7559999999999999,3.193,20130110.0,4472556.0,0.052000000000000005
-0.055101,-0.055101,-0.030917,-0.045982,-0.033025,-0.044331,12.144,16.005,31.21,1.557,0.112,1.246,20060629.0,2192389.0,0.077
0.067979,0.067979,0.024534,-0.004155,0.018986000000000003,-0.002457,15.466,15.466,99.29,0.314,1.136,2.357,20141230.0,497453.0,0.032
0.016995,0.016995,-0.019762,-0.051739,-0.02925,-0.050612,3.562,3.562,188.5,0.0,1.6769999999999998,4.399,20091203.0,4763374.0,0.052000000000000005
0.062987,0.058678999999999995,0.007068000000000001,0.016406,0.00898,0.021872,5.597,5.443,51.6,0.118,0.93,1.557,20130130.0,526816.0,0.122
-0.015934999999999998,-0.015934999999999998,-0.017396000000000002,-0.007204,-0.012255,-0.005111999999999999,10.353,10.353,104.98,0.762,0.414,1.026,20150429.0,1703046.0,0.016
0.035692,0.030066000000000002,0.010491,0.002313,0.008167,0.003961999999999999,16.549,18.054,117.17,2.007,0.212,1.847,20150629.0,618020.0,0.053
0.053658000000000004,0.051303999999999995,0.028514,0.032232,0.032688,0.033602999999999994,7.065,7.065,156.35001,18.233,0.4785,1.555,20100330.0,2320695.0,0.052000000000000005
0.026123,0.02264,0.016467,0.029505,0.02134,0.031168,23.302,22.242,29.36,0.0,1.704,6.364,20110227.0,12958870.0,0.052000000000000005
0.039067000000000005,0.033232,0.016467,0.029505,0.02134,0.031168,18.224,18.388,81.46,0.471,0.206,2.67,20061228.0,493188.0,0.083
0.094941,0.090178,0.012864,-0.013287,0.009678,-0.011712,26.546,28.933000000000003,25.75,0.181,1.236,4.181,20110227.0,15361992.0,0.009000000000000001
0.07362,0.07362,0.008533,-0.00702,0.001454,-0.003561,7.09,7.09,33.25,10.221,0.4785,1.089,20120130.0,8181803.0,0.052000000000000005
-0.108004,-0.108004,-0.061163,-0.04616,-0.063252,-0.045066,10.165,10.24,83.25,0.263,0.382,0.923,20080228.0,2811883.0,0.041
0.07790599999999999,0.07790599999999999,0.007821999999999999,0.037024,0.019081,0.042176,11.353,9.036,17.71,0.773,1.205,2.446,20090129.0,9899820.0,0.078
-0.0,-0.0054,0.017771000000000002,0.051972,0.026392,0.055001,-19.188,-106.27,27.63,5.107,0.237,0.731,20100128.0,1802546.0,0.093
-0.031919,-0.039429,-0.005059,-0.02248,-0.008893,-0.020645,9.302,9.302,25.58,0.378,1.963,3.026,20110227.0,10497537.0,0.03
0.013619999999999998,0.0063560000000000005,0.054893,0.052497,0.053611,0.054123,14.394,14.149,33.25,0.5660000000000001,0.877,2.819,20150322.0,4564882.0,0.037000000000000005
-0.065067,-0.065067,-0.009859,-0.002657,-0.014677,-0.001295,14.953,14.953,25.72,0.0,0.967,4.052,20080904.0,16420967.0,0.052000000000000005
0.16328499999999999,0.16328499999999999,-0.021474,-0.022838,-0.023611,-0.021813,2.659,2.6660000000000004,390.48001,0.0,1.257,4.14,20110922.0,3929412.0,0.052000000000000005
-0.076919,-0.076919,-0.019762,-0.051739,-0.02925,-0.050612,38.069,38.069,170.17,14.574000000000002,0.4785,1.624,20091129.0,2400631.0,0.16
0.002803,0.002803,0.024236,0.03269,0.024597,0.034925,2.241,2.241,667.10498,0.0,0.88,4.21,20121018.0,3438905.0,0.052000000000000005
-0.00016,-0.00016,-0.036974,-0.012292,-0.038109,-0.011388,16.132,16.343,62.43,1.4269999999999998,0.755,3.016,20100225.0,1583787.0,0.045
