,vwretd,ptb,vwretx,DATE,CAPEI,ewretd,ewretx,PEG_1yrforward,accrual,pretret_earnat,ps,roe,pcf,pe_op_dil,BID,NEXT_DAY_PREDICTION
24,0.027941000000000004,3.828,0.025957,1401580800000000000,17.558,0.039501,0.037053,8.277999999999999,0.043,0.247,4.122,0.271,12.004,15.618,41.7,1.0
25,-0.020523,3.963,-0.021819,1404172800000000000,18.175,-0.035223000000000004,-0.036411,10.709,0.043,0.247,4.267,0.271,12.425999999999998,16.165,43.17,1.0
26,0.040186,4.046,0.038183,1406851200000000000,18.203,0.033697000000000005,0.032156,5.048,0.065,0.23,4.33,0.255,11.614,17.079,45.42,1.0
27,-0.025129,4.137,-0.026823000000000003,1409529600000000000,18.609,-0.044988,-0.046891,5.795,0.065,0.23,4.427,0.255,11.874,17.429000000000002,46.36,1.0
28,0.021184,4.183,0.019935,1412121600000000000,18.818,0.014199000000000003,0.012956,5.2170000000000005,0.065,0.23,4.477,0.255,12.007,17.65,46.92,1.0
29,0.02115,4.243,0.018986000000000003,1414800000000000000,19.392,-0.002457,-0.004155,12.327,0.069,0.236,4.325,0.242,12.171,17.773,47.82,0.0
30,-0.003616,4.11,-0.005754,1417392000000000000,18.783,-0.00019,-0.003562,11.977,0.069,0.236,4.189,0.242,11.789,17.268,46.46,0.0
31,-0.027152,3.568,-0.028223,1420070400000000000,16.309,-0.019073,-0.020095,13.889,0.069,0.236,3.637,0.242,10.236,15.019,40.41,1.0
32,0.055948000000000005,3.799,0.053611,1422748800000000000,17.511,0.054123,0.052497,-2.583,0.07,0.229,3.865,0.228,11.135,16.362000000000002,43.84,0.0
33,-0.010439,3.483,-0.012255,1425168000000000000,16.055999999999994,-0.005111999999999999,-0.007204,-1.796,0.07,0.229,3.544,0.228,10.209,15.17,40.65,1.0
34,0.008723,4.155,0.007573999999999998,1427846400000000000,19.154,0.015127000000000003,0.013988999999999998,-2.063,0.07,0.229,4.228,0.228,12.179,18.149,48.66,0.0
35,0.002442,5.4529999999999985,0.000176,1446336000000000000,21.763,0.007333,0.005435,2.819,0.096,0.204,4.784,0.138,14.807,20.744,54.36,1.0
36,0.067788,5.274,0.065138,1241136000000000000,21.52,0.10233,0.10021,-2.897,0.037000000000000005,0.373,3.5860000000000003,0.233,15.539,9.871,49.1,0.0
37,-0.003098,5.149,-0.00504,1243814400000000000,21.008000000000006,0.023921,0.021352,-3.4560000000000004,0.037000000000000005,0.373,3.5010000000000003,0.233,15.169,9.637,47.96,1.0
38,0.081719,5.353,0.08029800000000001,1246406400000000000,21.841,0.085217,0.083763,-3.589,0.037000000000000005,0.373,3.64,0.233,15.77,10.008,49.8,0.0
39,0.031459,4.714,0.0293,1249084800000000000,21.091,0.056864,0.055310000000000005,-2.5860000000000003,0.039,0.363,3.651,0.267,14.101,8.772,48.73,1.0
40,0.045222000000000005,5.19,0.043582,1251763200000000000,23.223000000000006,0.071255,0.069383,-2.8480000000000003,0.039,0.363,4.02,0.267,15.527,9.658,53.66,0.0
41,-0.027993,5.152,-0.02925,1254355200000000000,23.052,-0.050612,-0.051739,-3.455,0.039,0.363,3.991,0.267,15.412,9.588,53.25,1.0
42,0.057098,5.285,0.054642,1257033600000000000,24.347,0.028476,0.026485,-3.707,0.042,0.36,4.331,0.27,16.217,10.214,57.2,0.0
43,0.028419,5.267,0.026392,1259625600000000000,24.262,0.055001,0.051972,-3.694,0.042,0.36,4.315,0.27,16.16,10.179,56.97,0.0
44,-0.037096,5.013,-0.038109,1262304000000000000,23.091,-0.011388,-0.012292,-3.516,0.042,0.36,4.107,0.27,15.380999999999998,9.688,54.24,0.0
45,0.034774,4.607,0.032688,1264982400000000000,21.273000000000003,0.033602999999999994,0.032232,1.529,0.031,0.359,3.921,0.28600000000000003,14.845999999999998,17.457,52.77,1.0
46,0.063606,4.806,0.06192,1267401600000000000,22.193,0.069289,0.06725199999999999,1.596,0.031,0.359,4.091,0.28600000000000003,15.488,18.212,55.01,0.0
47,0.020043,4.675,0.01893,1270080000000000000,21.585,0.057842999999999985,0.056698,1.551,0.031,0.359,3.979,0.28600000000000003,15.064,17.699,53.4,0.0
48,-0.079136,4.5,-0.081224,1272672000000000000,20.947,-0.076929,-0.078435,0.647,0.033,0.349,3.783,0.292,13.726,8.082,51.37,0.0
49,-0.050725,4.388,-0.052465,1275350400000000000,20.425,-0.056799,-0.058868,0.664,0.033,0.349,3.689,0.292,13.385,7.881,50.09,1.0
50,0.070292,4.825,0.068594,1277942400000000000,22.459,0.05994,0.05868200000000001,0.73,0.033,0.349,4.056,0.292,14.717,8.665,55.09,1.0
51,-0.042813,4.767,-0.044938,1280620800000000000,22.293000000000006,-0.047566,-0.049083,0.672,0.03,0.35100000000000003,4.064,0.292,14.609000000000002,8.391,55.87,1.0
52,0.091518,4.992,0.089635,1283299200000000000,23.345,0.096418,0.094485,0.7040000000000001,0.03,0.35100000000000003,4.256,0.292,15.299,8.787,58.52,1.0
53,0.038531,5.259,0.037009,1285891200000000000,24.595,0.040681,0.039488,0.738,0.03,0.35100000000000003,4.484,0.292,16.118,9.207,61.34,1.0
54,0.005108,5.008,0.002908,1288569600000000000,24.829,0.010736,0.008971999999999999,0.6759999999999999,0.032,0.353,4.565,0.289,16.048,9.262,63.17,1.0
55,0.06715,5.214,0.064817,1291161600000000000,25.851,0.068851,0.065469,0.7040000000000001,0.032,0.353,4.752,0.289,16.709,9.644,65.79,0.0
56,0.019157,4.9830000000000005,0.018203,1293840000000000000,24.703000000000007,0.014412,0.013611000000000002,0.672,0.032,0.353,4.541,0.289,15.967,9.216,62.84,1.0
57,0.038165,4.159,0.036232,1296518400000000000,20.655,0.037036,0.035725,1.13,-0.037000000000000005,0.302,4.176,0.383,15.385,19.253,63.93,1.0
58,0.003366,4.3180000000000005,0.0017809999999999996,1298937600000000000,21.444000000000006,0.008605,0.006786,1.173,-0.037000000000000005,0.302,4.336,0.383,15.973,19.982,66.34,1.0
59,0.028688,4.391,0.027573,1301616000000000000,21.806,0.019203,0.018109,1.193,-0.037000000000000005,0.302,4.409,0.383,16.243,20.319000000000006,67.44,0.0
60,-0.014935,4.167,-0.016942,1304208000000000000,23.136,-0.018549,-0.020191,0.608,-0.057,0.322,4.01,0.41,17.653,9.796,66.84,1.0
61,-0.018395,4.197,-0.020161,1306886400000000000,23.302,-0.024106,-0.026251,0.613,-0.057,0.322,4.039,0.41,17.78,9.867,67.28,1.0
62,-0.02247,4.242,-0.023611,1309478400000000000,23.551,-0.021813,-0.022838,0.619,-0.057,0.322,4.082,0.41,17.97,9.972,67.97,1.0
63,-0.057472,4.059,-0.059612,1312156800000000000,23.166,-0.075715,-0.077329,0.588,-0.055,0.308,3.833,0.391,18.249,10.093,70.42,0.0
64,-0.084873,3.893,-0.086564,1314835200000000000,22.215,-0.10092,-0.102888,0.564,-0.055,0.308,3.676,0.391,17.5,9.679,67.6,1.0
65,0.113977,3.894,0.112566,1317427200000000000,22.222,0.107697,0.106575,0.635,-0.055,0.308,3.677,0.391,17.506,9.788,68.34,0.0
66,-0.006226,4.043,-0.008893,1320105600000000000,20.763,-0.020645,-0.02248,0.655,-0.049,0.29,3.318,0.36,16.765,9.416,67.16,1.0
67,0.003702,4.208,0.001454,1322697600000000000,21.609,-0.003561,-0.00702,0.6809999999999999,-0.049,0.29,3.4530000000000003,0.36,17.448,9.8,69.97,0.0
