,pretret_earnat,divyield,roe,pcf,pe_op_dil,CAPEI,PEG_1yrforward,ptb,BID,accrual,ps,pe_op_basic,cash_lt,PEG_1yrforward,ASKHI,ptb,PEG_ltgforward,NEXT_DAY_PREDICTION
38,0.373,0.0329,0.233,15.77,10.008,21.841,-3.589,5.353,49.8,0.037000000000000005,3.64,9.928,0.298,-3.589,51.03,5.353,1.332,0.0
39,0.363,0.0336,0.267,14.101,8.772,21.091,-2.5860000000000003,4.714,48.73,0.039,3.651,8.74,0.317,-2.5860000000000003,49.91,4.714,1.346,1.0
40,0.363,0.0305,0.267,15.527,9.658,23.223000000000006,-2.8480000000000003,5.19,53.66,0.039,4.02,9.624,0.317,-2.8480000000000003,53.76,5.19,1.482,0.0
41,0.363,0.0308,0.267,15.412,9.588,23.052,-3.455,5.152,53.25,0.039,3.991,9.554,0.317,-3.455,55.01,5.152,1.4,1.0
42,0.36,0.0287,0.27,16.217,10.214,24.347,-3.707,5.285,57.2,0.042,4.331,10.214,0.335,-3.707,58.24,5.285,1.63,0.0
43,0.36,0.0288,0.27,16.16,10.179,24.262,-3.694,5.267,56.97,0.042,4.315,10.179,0.335,-3.694,59.11,5.267,1.173,0.0
44,0.36,0.0302,0.27,15.380999999999998,9.688,23.091,-3.516,5.013,54.24,0.042,4.107,9.688,0.335,-3.516,57.13,5.013,1.116,0.0
45,0.359,0.0311,0.28600000000000003,14.845999999999998,17.457,21.273000000000003,1.529,4.607,52.77,0.031,3.921,17.342,0.395,1.529,55.91,4.607,1.999,1.0
46,0.359,0.032,0.28600000000000003,15.488,18.212,22.193,1.596,4.806,55.01,0.031,4.091,18.092,0.395,1.596,55.3,4.806,2.208,0.0
47,0.359,0.0329,0.28600000000000003,15.064,17.699,21.585,1.551,4.675,53.4,0.031,3.979,17.582,0.395,1.551,55.32,4.675,2.146,0.0
48,0.349,0.0342,0.292,13.726,8.082,20.947,0.647,4.5,51.37,0.033,3.783,7.957000000000002,0.386,0.647,54.04,4.5,0.995,0.0
49,0.349,0.0351,0.292,13.385,7.881,20.425,0.664,4.388,50.09,0.033,3.689,7.758999999999999,0.386,0.664,52.75,4.388,0.97,1.0
50,0.349,0.0319,0.292,14.717,8.665,22.459,0.73,4.825,55.09,0.033,4.056,8.531,0.386,0.73,55.11,4.825,1.0659999999999998,1.0
51,0.35100000000000003,0.0315,0.292,14.609000000000002,8.391,22.293000000000006,0.672,4.767,55.87,0.03,4.064,8.267000000000001,0.41,0.672,57.11,4.767,1.034,1.0
52,0.35100000000000003,0.0301,0.292,15.299,8.787,23.345,0.7040000000000001,4.992,58.52,0.03,4.256,8.657,0.41,0.7040000000000001,59.1,4.992,1.083,1.0
53,0.35100000000000003,0.0287,0.292,16.118,9.207,24.595,0.738,5.259,61.34,0.03,4.484,9.071,0.41,0.738,61.61,5.259,1.134,1.0
54,0.353,0.0279,0.289,16.048,9.262,24.829,0.6759999999999999,5.008,63.17,0.032,4.565,9.155,0.44,0.6759999999999999,64.61,5.008,1.121,1.0
55,0.353,0.0268,0.289,16.709,9.644,25.851,0.7040000000000001,5.214,65.79,0.032,4.752,9.532,0.44,0.7040000000000001,65.77,5.214,1.167,0.0
56,0.353,0.028,0.289,15.967,9.216,24.703000000000007,0.672,4.9830000000000005,62.84,0.032,4.541,9.109,0.44,0.672,65.22,4.9830000000000005,1.115,1.0
57,0.302,0.0275,0.383,15.385,19.253,20.655,1.13,4.159,63.93,-0.037000000000000005,4.176,19.024,0.272,1.13,64.55,4.159,1.436,1.0
58,0.302,0.0283,0.383,15.973,19.982,21.444000000000006,1.173,4.3180000000000005,66.34,-0.037000000000000005,4.336,19.744,0.272,1.173,66.34,4.3180000000000005,1.457,1.0
59,0.302,0.0279,0.383,16.243,20.319000000000006,21.806,1.193,4.391,67.44,-0.037000000000000005,4.409,20.077,0.272,1.193,68.31,4.391,1.393,0.0
60,0.322,0.0281,0.41,17.653,9.796,23.136,0.608,4.167,66.84,-0.057,4.01,9.655,0.35200000000000004,0.608,68.46,4.167,0.6990000000000001,1.0
61,0.322,0.0279,0.41,17.78,9.867,23.302,0.613,4.197,67.28,-0.057,4.039,9.724,0.35200000000000004,0.613,67.29,4.197,0.7040000000000001,1.0
62,0.322,0.0276,0.41,17.97,9.972,23.551,0.619,4.242,67.97,-0.057,4.082,9.828,0.35200000000000004,0.619,69.73,4.242,0.711,1.0
