,pretret_earnat,divyield,roe,pcf,pe_op_dil,CAPEI,PEG_1yrforward,ptb,BID,accrual,ps,pe_op_basic,cash_lt,PEG_1yrforward,ASKHI,ptb,PEG_ltgforward,NEXT_DAY_PREDICTION
356,0.269,0.0186,0.219,12.656,15.293,20.731,1.166,3.159,68.74,0.022,1.24,14.928,0.09,1.166,70.34,3.159,1.321,1.0
357,0.269,0.0177,0.219,13.232,16.104,21.676,1.208,3.303,72.44,0.022,1.296,15.72,0.09,1.208,73.11,3.303,1.444,0.0
358,0.261,0.0195,0.22,11.031,13.779000000000002,19.247,0.903,2.887,65.53,0.022,1.086,13.413,0.091,0.903,67.22,2.887,1.221,0.0
359,0.261,0.0213,0.22,10.101,12.618,17.624000000000006,0.815,2.643,59.97,0.022,0.994,12.282,0.091,0.815,67.42,2.643,1.118,0.0
360,0.261,0.0233,0.22,9.112,11.546,15.898,0.768,2.384,54.83,0.022,0.897,11.239,0.091,0.768,59.12,2.384,1.048,0.0
361,0.258,0.0317,0.21600000000000005,7.457999999999998,9.824,13.563,0.65,2.188,48.47,0.028,0.7759999999999999,9.572,0.095,0.65,57.25,2.188,0.9,1.0
362,0.258,0.0287,0.21600000000000005,8.237,10.85,14.98,0.7509999999999999,2.417,53.49,0.028,0.857,10.572,0.095,0.7509999999999999,53.6,2.417,1.126,0.0
363,0.258,0.0321,0.21600000000000005,7.375,9.715,13.413,0.6829999999999999,2.164,47.96,0.028,0.768,9.465,0.095,0.6829999999999999,54.95,2.164,0.945,0.0
364,0.266,0.0377,0.252,6.252999999999999,8.215,10.358,-1.57,2.42,40.81,0.027000000000000003,0.6579999999999999,8.052999999999999,0.11,-1.57,49.62,2.42,0.877,1.0
365,0.266,0.0358,0.252,6.582000000000002,8.648,10.903,-0.6409999999999999,2.548,42.94,0.027000000000000003,0.693,8.477,0.11,-0.6409999999999999,45.47,2.548,0.975,1.0
366,0.266,0.0315,0.252,7.468,9.827,12.37,-0.698,2.891,48.81,0.027000000000000003,0.7859999999999999,9.633,0.11,-0.698,49.37,2.891,1.107,1.0
367,0.245,0.029300000000000007,0.219,8.607000000000001,11.029000000000002,13.699000000000002,-0.675,3.134,52.67,0.024,0.856,10.803,0.099,-0.675,53.55,3.134,1.254,0.0
368,0.245,0.0296,0.219,8.501,10.893,13.53,-0.675,3.095,51.98,0.024,0.846,10.669,0.099,-0.675,56.49,3.095,1.239,1.0
369,0.245,0.0283,0.219,8.904,11.419,14.172,-0.69,3.242,54.38,0.024,0.8859999999999999,11.185,0.099,-0.69,54.97,3.242,1.2990000000000002,1.0
370,0.237,0.0259,0.22,9.502,12.904000000000002,15.127,-0.7979999999999999,3.215,59.33,0.031,1.014,12.711,0.101,-0.7979999999999999,60.01,3.215,1.845,1.0
371,0.237,0.0253,0.22,9.754,13.246,15.527,-0.8290000000000001,3.3,60.86,0.031,1.041,13.047,0.101,-0.8290000000000001,63.23,3.3,1.893,1.0
372,0.237,0.0251,0.22,9.798,13.359000000000002,15.598,-0.836,3.315,61.45,0.031,1.046,13.158,0.101,-0.836,65.9,3.315,1.75,1.0
373,0.235,0.0229,0.222,10.688,14.976,16.783,-0.993,3.41,67.25,0.035,1.181,14.811,0.106,-0.993,69.93,3.41,1.723,1.0
374,0.235,0.0222,0.222,11.033,15.459,17.325,-1.025,3.52,69.35,0.035,1.219,15.289,0.106,-1.025,70.49,3.52,1.62,0.0
375,0.235,0.0228,0.222,10.727,15.029000000000002,16.843,-0.997,3.422,67.43,0.035,1.185,14.863,0.106,-0.997,72.81,3.422,1.575,1.0
376,0.239,0.0248,0.213,12.022,15.088,16.385,1.3730000000000002,3.207,68.65,0.027000000000000003,1.218,14.892,0.131,1.3730000000000002,68.67,3.207,1.634,1.0
377,0.239,0.0231,0.213,12.877,16.178,17.55,1.472,3.435,73.61,0.027000000000000003,1.305,15.967,0.131,1.472,74.13,3.435,1.6669999999999998,1.0
378,0.239,0.0227,0.213,13.065,16.473,17.805999999999994,1.47,3.485,74.9,0.027000000000000003,1.324,16.258,0.131,1.47,76.93,3.485,1.6969999999999998,0.0
379,0.246,0.0252,0.222,10.44,14.428,16.229,1.182,3.149,67.37,0.036000000000000004,1.195,14.215,0.122,1.182,76.28,3.149,1.5319999999999998,0.0
380,0.246,0.0262,0.222,10.057,13.899,15.634,1.16,3.034,64.85,0.036000000000000004,1.151,13.694,0.122,1.16,69.37,3.034,1.467,1.0
381,0.246,0.0239,0.222,10.969,15.225,17.051,1.27,3.309,71.09,0.036000000000000004,1.256,15.0,0.122,1.27,71.59,3.309,1.607,0.0
382,0.246,0.0261,0.21600000000000005,10.3,13.642,15.404000000000002,1.03,3.039,65.15,0.031,1.138,13.418,0.129,1.03,73.39,3.039,1.4240000000000002,1.0
383,0.246,0.0239,0.21600000000000005,11.251,14.902,16.826,1.125,3.32,71.25,0.031,1.243,14.656,0.129,1.125,71.6,3.32,1.556,1.0
384,0.246,0.0227,0.21600000000000005,11.738,15.642,17.555,1.162,3.464,74.75,0.031,1.297,15.385,0.129,1.162,75.01,3.464,1.633,1.0
385,0.251,0.0226,0.217,12.183,15.52,17.408,1.129,3.27,75.27,0.025,1.298,15.268,0.136,1.129,76.75,3.27,1.639,1.0
386,0.251,0.0216,0.217,12.742,16.230999999999998,18.206,1.18,3.42,78.72,0.025,1.357,15.968,0.136,1.18,79.52,3.42,1.71,1.0
387,0.251,0.0209,0.217,13.159,16.762999999999998,18.803,1.219,3.532,81.29,0.025,1.402,16.491,0.136,1.219,82.59,3.532,1.766,1.0
388,0.258,0.0203,0.211,13.03,16.809,18.457,1.392,3.599,83.5,0.027000000000000003,1.4169999999999998,16.543,0.116,1.392,85.21,3.599,1.754,1.0
389,0.258,0.0201,0.211,13.203,17.032,18.703,1.365,3.646,84.63,0.027000000000000003,1.435,16.762,0.116,1.365,84.65,3.646,1.819,1.0
390,0.258,0.019,0.211,13.882,18.024,19.665,1.445,3.834,89.57,0.027000000000000003,1.509,17.739,0.116,1.445,89.58,3.834,1.925,0.0
391,0.252,0.0219,0.217,13.140999999999998,17.21,19.532,1.254,3.631,87.74,0.028,1.462,16.944000000000006,0.13,1.254,90.0,3.631,1.775,1.0
392,0.252,0.0217,0.217,13.252,17.355,19.697,1.264,3.661,88.5,0.028,1.474,17.087,0.13,1.264,88.51,3.661,1.689,0.0
393,0.252,0.0232,0.217,12.314,16.243,18.303,1.166,3.402,82.86,0.028,1.37,15.992,0.13,1.166,91.39,3.402,1.581,0.0
394,0.249,0.0259,0.22,11.3,14.334,16.160999999999998,0.96,2.969,74.29,0.022,1.212,14.089,0.132,0.96,82.34,2.969,1.141,0.0
395,0.249,0.0273,0.22,10.708,13.583,15.315,0.91,2.814,70.3,0.022,1.149,13.351,0.132,0.91,76.01,2.814,1.082,1.0
396,0.249,0.0246,0.22,11.833,15.054,16.924,1.009,3.109,77.98,0.022,1.27,14.797,0.132,1.009,79.51,3.109,1.298,0.0
397,0.238,0.0251,0.217,11.098,14.48,16.398,0.94,3.072,76.52,0.025,1.234,14.264,0.134,0.94,79.83,3.072,1.25,0.0
398,0.238,0.0263,0.217,10.589,13.817,15.647,0.897,2.932,73.08,0.025,1.178,13.611,0.134,0.897,76.64,2.932,1.237,1.0
399,0.238,0.0245,0.217,11.351,14.811,16.773,0.961,3.143,78.33,0.025,1.262,14.59,0.134,0.961,78.35,3.143,1.347,1.0
400,0.253,0.0229,0.23,11.584,14.977,17.275,8.387,3.489,83.87,0.027000000000000003,1.3119999999999998,14.714,0.157,8.387,84.88,3.489,1.402,0.0
401,0.253,0.0231,0.23,11.455,14.811,17.084,10.367,3.45,82.93,0.027000000000000003,1.297,14.550999999999998,0.157,10.367,86.89,3.45,1.311,0.0
402,0.253,0.0235,0.23,11.29,14.579,16.838,18.945,3.401,81.61,0.027000000000000003,1.279,14.323,0.157,18.945,82.73,3.401,1.239,0.0
403,0.224,0.0259,0.226,10.342,13.598,15.527,13.697,3.003,74.11,0.024,1.217,13.401,0.155,13.697,81.55,3.003,1.105,1.0
404,0.224,0.0254,0.226,10.54,13.859000000000002,15.825,15.474,3.06,75.56,0.024,1.24,13.658,0.155,15.474,76.4,3.06,1.141,0.0
405,0.224,0.0258,0.226,10.393,13.659,15.604,-24.413,3.018,74.44,0.024,1.223,13.461,0.155,-24.413,75.82,3.018,1.091,1.0
406,0.22,0.0268,0.233,10.401,14.183,16.474,-4.206,3.221,79.88,0.028,1.328,14.009,0.212,-4.206,80.64,3.221,1.342,0.0
407,0.22,0.0273,0.233,10.198,13.906,16.152,-4.124,3.158,78.24,0.028,1.3019999999999998,13.735,0.212,-4.124,82.45,3.158,1.315,0.0
408,0.22,0.0274,0.233,10.234,13.883,16.21,-3.901,3.169,78.16,0.028,1.306,13.712,0.212,-3.901,79.23,3.169,1.252,1.0
409,0.202,0.0267,0.231,10.983,14.486,16.4,-4.797,2.942,80.11,0.021,1.32,14.331,0.183,-4.797,80.11,2.942,1.213,1.0
410,0.202,0.0261,0.231,11.244000000000002,14.83,16.789,-4.622,3.012,82.01,0.021,1.351,14.671,0.183,-4.622,83.17,3.012,1.27,1.0
411,0.202,0.0244,0.231,12.005999999999998,15.835,17.928,-5.244,3.216,87.86,0.021,1.442,15.665,0.183,-5.244,89.8,3.216,1.405,1.0
412,0.209,0.0236,0.203,12.489,16.989,18.274,1.224,3.2030000000000003,90.54,0.024,1.4380000000000002,16.831,0.078,1.224,91.02,3.2030000000000003,1.242,1.0
413,0.209,0.0229,0.203,12.909,17.529,18.889,1.246,3.3110000000000004,93.42,0.024,1.487,17.366,0.078,1.246,93.59,3.3110000000000004,1.279,0.0
414,0.209,0.0234,0.203,12.628,17.128,18.477,1.2009999999999998,3.239,91.22,0.024,1.454,16.968,0.078,1.2009999999999998,95.82,3.239,1.25,1.0
415,0.193,0.0226,0.205,14.449000000000002,17.285999999999998,19.24,1.233,3.3310000000000004,94.95,0.014,1.462,17.038,0.136,1.233,97.55,3.3310000000000004,1.294,0.0
416,0.193,0.023,0.205,14.15,16.929000000000002,18.843,1.207,3.262,92.93,0.014,1.431,16.686,0.136,1.207,96.17,3.262,1.267,1.0
417,0.193,0.0203,0.205,16.042,19.23,21.362,1.371,3.698,105.62,0.014,1.6230000000000002,18.953,0.136,1.371,105.57,3.698,1.44,0.0
418,0.197,0.0214,0.201,14.646,18.004,20.148,1.217,3.403,100.0,0.015,1.484,17.748,0.084,1.217,107.77,3.403,1.328,1.0
419,0.197,0.0198,0.201,15.775,19.392,21.702,1.311,3.666,107.78,0.015,1.598,19.117,0.084,1.311,112.0,3.666,1.431,0.0
420,0.197,0.0201,0.201,15.547,19.11,21.388,1.276,3.613,106.27,0.015,1.575,18.839,0.084,1.276,108.02,3.613,1.45,1.0
421,0.215,0.0213,0.199,16.247,18.95,22.175,1.305,3.56,110.83,0.012,1.633,18.695,0.079,1.305,111.51,3.56,1.479,1.0
422,0.215,0.0207,0.199,16.678,19.453,22.763,1.34,3.654,113.78,0.012,1.676,19.191,0.079,1.34,113.8,3.654,1.518,1.0
423,0.215,0.0207,0.199,16.71,19.491,22.807,1.3259999999999998,3.661,113.97,0.012,1.679,19.228,0.079,1.3259999999999998,116.12,3.661,1.645,1.0
424,0.223,0.0202,0.197,15.574000000000002,18.844,22.588,1.918,3.361,117.02,0.013,1.71,18.545,0.081,1.918,117.02,3.361,1.671,0.0
425,0.223,0.0202,0.197,15.57,18.815,22.583,1.915,3.36,116.83,0.013,1.71,18.517,0.081,1.915,118.31,3.36,1.706,1.0
426,0.223,0.0199,0.197,15.774,19.055,22.879,1.909,3.404,118.31,0.013,1.732,18.753,0.081,1.909,119.87,3.404,1.7280000000000002,0.0
427,0.229,0.0203,0.198,14.172,18.274,22.678,1.863,3.297,116.21,0.021,1.692,17.991,0.079,1.863,118.74,3.297,1.629,0.0
428,0.229,0.0204,0.198,14.078,18.153,22.528,1.85,3.275,115.43,0.021,1.681,17.872,0.079,1.85,120.09,3.275,1.618,0.0
429,0.229,0.022400000000000003,0.198,12.795,16.533,20.475,1.633,2.977,105.15,0.021,1.528,16.277,0.079,1.633,115.93,2.977,1.474,1.0
430,0.225,0.0219,0.197,13.532,16.925,20.634,1.602,2.924,108.0,0.015,1.632,16.664,0.081,1.602,110.06,2.924,1.5,0.0
431,0.225,0.0223,0.197,13.233,16.552,20.179,1.591,2.859,105.59,0.015,1.596,16.296,0.081,1.591,109.22,2.859,1.446,1.0
432,0.225,0.0221,0.197,13.363,16.771,20.376,1.638,2.887,106.99,0.015,1.612,16.512,0.081,1.638,107.0,2.887,1.465,1.0
433,0.224,0.0214,0.197,13.18,17.04,20.464,1.496,2.947,110.13,0.015,1.682,16.78,0.084,1.496,111.71,2.947,1.457,1.0
434,0.224,0.0205,0.197,13.769,17.802,21.378,1.689,3.079,115.0,0.015,1.757,17.53,0.084,1.689,117.24,3.079,1.606,0.0
435,0.224,0.0206,0.197,13.743,17.768,21.337,1.713,3.073,114.84,0.015,1.753,17.497,0.084,1.713,120.45,3.073,1.6030000000000002,1.0
436,0.241,0.021,0.197,15.075,17.516,21.188,6.096,3.543,121.89,0.012,1.721,17.243,0.08900000000000001,6.096,124.11,3.543,1.941,0.0
437,0.241,0.0218,0.197,14.513,16.839000000000002,20.398,6.894,3.411,117.34,0.012,1.6569999999999998,16.577,0.08900000000000001,6.894,123.19,3.411,1.87,0.0
438,0.241,0.0225,0.197,14.254,16.343,20.034,7.109,3.35,113.75,0.012,1.6269999999999998,16.089000000000002,0.08900000000000001,7.109,118.46,3.35,1.815,1.0
439,0.21600000000000005,0.0218,0.189,14.267,18.054,20.34,6.49,3.641,117.19,0.012,1.847,17.807000000000006,0.08800000000000001,6.49,119.14,3.641,1.901,0.0
440,0.21600000000000005,0.0231,0.189,13.507,17.092,19.256,6.145,3.447,110.89,0.012,1.749,16.859,0.08800000000000001,6.145,118.51,3.447,1.8,0.0
441,0.217,0.0279,0.184,11.48,14.137,15.643,-1.578,2.6860000000000004,91.59,0.014,1.416,13.922,0.091,-1.578,99.55,2.6860000000000004,1.771,0.0
442,0.217,0.0288,0.184,11.152,13.733,15.195,-1.533,2.609,88.93,0.014,1.376,13.524,0.091,-1.533,93.94,2.609,1.72,1.0
443,0.217,0.026,0.184,12.283,15.187,16.736,-1.695,2.874,98.42,0.014,1.515,14.956,0.091,-1.695,100.62,2.874,1.444,0.0
444,0.212,0.0267,0.17800000000000002,14.068,14.915,16.136,-1.896,2.7910000000000004,96.04,0.006,1.501,14.709,0.091,-1.896,100.8,2.7910000000000004,1.483,1.0
445,0.34600000000000003,0.02,0.187,17.278,23.011,30.748,1.719,2.6630000000000003,61.89,0.027000000000000003,2.881,21.796,0.108,1.719,61.9,2.6630000000000003,2.073,1.0
446,0.34600000000000003,0.02,0.187,17.301,23.041,30.788,1.722,2.6660000000000004,61.99,0.027000000000000003,2.885,21.824,0.108,1.722,62.73,2.6660000000000004,2.076,1.0
447,0.34600000000000003,0.0196,0.187,17.694000000000006,23.565,31.488000000000003,1.761,2.727,63.34,0.027000000000000003,2.95,22.32,0.108,1.761,63.81,2.727,2.155,0.0
448,0.155,0.0137,0.358,15.749,18.0,32.293,0.812,5.814,73.0,0.006,1.349,17.317999999999998,0.029,0.812,73.5,5.814,1.55,0.0
449,0.155,0.0139,0.358,15.475,17.687,31.732,0.7809999999999999,5.712999999999999,71.8,0.006,1.3259999999999998,17.017,0.029,0.7809999999999999,76.26,5.712999999999999,1.523,1.0
450,0.155,0.0132,0.358,16.204,18.655,33.225,0.8059999999999999,5.982,75.81,0.006,1.388,17.948,0.029,0.8059999999999999,78.97,5.982,1.606,0.0
451,0.177,0.0137,0.386,14.038,16.375,33.02,0.5379999999999999,5.421,72.93,0.008,1.2990000000000002,15.739,0.024,0.5379999999999999,81.14,5.421,1.414,1.0
452,0.177,0.0134,0.386,14.332,16.718,33.713,0.54,5.535,74.57,0.008,1.327,16.069000000000006,0.024,0.54,74.48,5.535,1.4340000000000002,0.0
453,0.177,0.0169,0.386,13.638,15.908,32.079,0.502,5.267,70.82,0.008,1.262,15.29,0.024,0.502,74.77,5.267,1.365,0.0
454,0.189,0.0181,0.406,10.703,13.595999999999998,27.267,0.378,5.04,66.31,0.014,1.126,13.061,0.023,0.378,73.18,5.04,1.162,0.0
455,0.189,0.0182,0.406,10.615,13.484000000000002,27.041,0.375,4.998,65.75,0.014,1.117,12.953,0.023,0.375,69.68,4.998,1.152,0.0
456,0.189,0.0198,0.406,9.793,12.441,24.949,0.341,4.6110000000000015,60.75,0.014,1.03,11.951,0.023,0.341,69.93,4.6110000000000015,0.89,1.0
457,0.192,0.0193,0.407,8.871,12.068,23.385,0.423,4.47,62.04,0.022,1.004,11.616,0.019,0.423,62.87,4.47,0.77,0.0
458,0.192,0.0196,0.407,8.771,11.932,23.121,0.419,4.419,61.24,0.022,0.993,11.485,0.019,0.419,63.4,4.419,0.75,1.0
459,0.192,0.0187,0.407,9.162,12.465,24.154,0.441,4.617,64.03,0.022,1.037,11.998,0.019,0.441,64.07,4.617,0.7979999999999999,1.0
460,0.192,0.0186,0.463,7.175,12.249,20.154,2.222,6.066,64.42,0.046,1.002,11.8,0.012,2.222,68.21,6.066,0.961,1.0
461,0.192,0.0179,0.463,7.465,12.743,20.967,2.311,6.311,66.98,0.046,1.043,12.277,0.012,2.311,67.03,6.311,1.0,1.0
462,0.192,0.0165,0.463,8.087,13.806,22.716,2.594,6.837999999999999,72.54,0.046,1.13,13.3,0.012,2.594,73.76,6.837999999999999,1.083,1.0
463,0.18600000000000005,0.0153,0.42,7.6,14.911,25.14,2.107,6.7170000000000005,78.5,0.062,1.194,14.392,0.014,2.107,78.58,6.7170000000000005,1.176,0.0
464,0.18600000000000005,0.0153,0.42,7.572999999999999,14.858,25.05,1.942,6.693,78.2,0.062,1.19,14.341,0.014,1.942,82.49,6.693,1.171,1.0
465,0.18600000000000005,0.0183,0.42,7.622000000000001,14.953,25.21,1.862,6.7360000000000015,78.72,0.062,1.197,14.432,0.014,1.862,86.98,6.7360000000000015,1.179,0.0
466,0.17600000000000002,0.019,0.411,6.832999999999998,15.184,22.698,2.943,6.184,75.6,0.07400000000000001,1.129,14.684,0.014,2.943,81.0,6.184,1.203,1.0
467,0.17600000000000002,0.0184,0.411,7.073,15.717,23.495,3.0460000000000003,6.401,78.38,0.07400000000000001,1.169,15.2,0.014,3.0460000000000003,78.43,6.401,1.245,0.0
468,0.17600000000000002,0.0193,0.411,6.729,14.952,22.351,2.898,6.09,74.68,0.07400000000000001,1.112,14.459,0.014,2.898,82.51,6.09,1.1840000000000002,0.0
469,0.181,0.02,0.442,5.9670000000000005,13.854,20.117,3.5810000000000004,5.312,71.88,0.08,1.044,13.414,0.016,3.5810000000000004,74.92,5.312,0.794,1.0
470,0.181,0.0198,0.442,6.022,13.981,20.301,3.614,5.3610000000000015,72.49,0.08,1.053,13.537,0.016,3.614,76.58,5.3610000000000015,0.802,0.0
471,0.181,0.0203,0.442,5.892,13.678,19.862,3.722,5.245,70.93,0.08,1.03,13.244000000000002,0.016,3.722,70.99,5.245,0.784,1.0
472,0.18,0.0199,0.447,5.688,13.469,17.271,1.418,5.02,72.3,0.08199999999999999,1.004,13.032,0.026,1.418,74.39,5.02,1.092,1.0
473,0.18,0.0184,0.447,6.157,14.579,18.694000000000006,1.535,5.434,78.18,0.08199999999999999,1.087,14.106,0.026,1.535,78.29,5.434,1.296,1.0
474,0.18,0.0176,0.447,6.347,15.248,19.274,1.545,5.603,81.81,0.08199999999999999,1.12,14.753,0.026,1.545,85.28,5.603,1.355,1.0
475,0.201,0.041,0.4270000000000001,4.282,6.901,8.721,0.604,2.564,40.88,0.032,0.489,6.687,0.026,0.604,42.25,2.564,0.5870000000000001,1.0
476,0.201,0.0376,0.4270000000000001,4.666,7.52,9.504,0.693,2.794,44.64,0.032,0.5329999999999999,7.287000000000001,0.026,0.693,44.67,2.794,0.64,0.0
477,0.201,0.0545,0.4270000000000001,3.222,5.194,6.564,0.515,1.929,30.82,0.032,0.368,5.033,0.026,0.515,46.91,1.929,0.412,0.0
478,0.151,0.0683,0.468,3.092,5.043,4.768,-0.075,2.381,24.61,0.02,0.28800000000000003,4.902,0.046,-0.075,33.28,2.381,0.353,1.0
479,0.151,0.0601,0.468,3.513,5.73,5.417000000000002,-0.083,2.705,27.89,0.02,0.328,5.57,0.046,-0.083,30.78,2.705,0.401,1.0
480,0.151,0.0472,0.468,4.473,7.291,6.896,-0.092,3.444,35.54,0.02,0.417,7.087999999999999,0.046,-0.092,35.58,3.444,0.931,0.0
481,0.129,0.0171,0.272,13.127,23.826,23.104,0.5329999999999999,5.997000000000001,102.92,0.037000000000000005,1.544,23.13,0.07,0.5329999999999999,105.86,5.997000000000001,1.24,1.0
482,0.129,0.0158,0.272,14.201,25.775,24.994,0.565,6.487,111.32,0.037000000000000005,1.67,25.022,0.07,0.565,111.53,6.487,1.342,1.0
483,0.129,0.0152,0.272,14.854,26.715,26.143,0.555,6.7860000000000005,115.42,0.037000000000000005,1.747,25.935,0.07,0.555,115.41,6.7860000000000005,1.39,0.0
484,0.18,0.0166,0.379,13.059,18.792,23.96,0.302,5.401,105.8,0.025,1.442,18.148,0.071,0.302,114.37,5.401,0.8759999999999999,1.0
485,0.18,0.0165,0.379,13.140999999999998,18.909,24.109,0.287,5.435,106.43,0.025,1.4509999999999998,18.261,0.071,0.287,106.46,5.435,0.8809999999999999,0.0
486,0.185,0.0202,0.375,8.962,15.424,20.436,0.238,4.39,90.92,0.039,1.15,14.894,0.1,0.238,100.72,4.39,0.86,0.0
487,0.185,0.0249,0.375,7.272,12.515,16.583,0.2,3.563,73.77,0.039,0.933,12.085,0.1,0.2,88.69,3.563,0.6970000000000001,1.0
488,0.185,0.0195,0.375,9.303,16.01,21.213,0.266,4.557,94.44,0.039,1.194,15.46,0.1,0.266,96.85,4.557,0.6779999999999999,1.0
489,0.19,0.0188,0.3720000000000001,8.228,14.719,21.681,0.234,4.4689999999999985,97.72,0.049,1.136,14.206,0.099,0.234,97.88,4.4689999999999985,0.649,0.0
490,0.19,0.0203,0.3720000000000001,7.616,13.624,20.068,0.217,4.137,90.6,0.049,1.052,13.149,0.099,0.217,96.85,4.137,0.601,1.0
491,0.19,0.0169,0.3720000000000001,9.173,16.409000000000002,24.17,0.261,4.982,109.22,0.049,1.267,15.837,0.099,0.261,111.31,4.982,0.679,1.0
492,0.197,0.0161,0.404,10.55,14.699000000000002,23.672,0.541,5.502000000000002,114.16,0.029,1.23,14.223,0.046,0.541,116.2,5.502000000000002,0.5820000000000001,0.0
493,0.197,0.0173,0.404,9.84,13.709,22.078000000000007,0.505,5.131,106.48,0.029,1.147,13.265,0.046,0.505,113.73,5.131,0.5429999999999999,0.0
494,0.197,0.0179,0.404,9.566,13.227,21.464,0.48,4.989,102.75,0.029,1.115,12.798,0.046,0.48,109.21,4.989,0.794,0.0
495,0.199,0.021,0.395,8.695,10.519,18.577,0.35100000000000003,3.819,87.54,0.017,0.905,10.188,0.077,0.35100000000000003,102.63,3.819,0.632,0.0
496,0.199,0.0217,0.395,8.426,10.193,18.002,0.342,3.701,84.9,0.017,0.877,9.873,0.077,0.342,88.84,3.701,0.613,0.0
497,0.199,0.024700000000000003,0.395,8.357000000000001,10.109,17.854,0.368,3.671,84.21,0.017,0.87,9.792,0.077,0.368,86.79,3.671,0.608,1.0
498,0.207,0.0244,0.4270000000000001,9.74,8.963,17.355999999999998,0.32,3.5,85.33,-0.003,0.841,8.698,0.053,0.32,90.44,3.5,0.546,1.0
499,0.207,0.0242,0.4270000000000001,9.821,9.038,17.500999999999998,0.321,3.529,86.03,-0.003,0.848,8.771,0.053,0.321,93.94,3.529,0.551,0.0
500,0.207,0.0245,0.4270000000000001,9.681,8.908999999999997,17.25,0.35,3.479,84.81,-0.003,0.835,8.645,0.053,0.35,86.63,3.479,0.6779999999999999,1.0
501,0.203,0.0244,0.447,11.718,8.663,16.561,0.374,3.117,85.25,-0.021,0.831,8.423,0.06,0.374,88.08,3.117,0.624,1.0
502,0.203,0.0232,0.447,12.318,9.107,17.409000000000002,0.393,3.277,89.62,-0.021,0.8740000000000001,8.855,0.06,0.393,90.79,3.277,0.6559999999999999,1.0
503,0.203,0.0211,0.447,13.525,9.999,19.115,0.434,3.5980000000000003,98.44,-0.021,0.96,9.722,0.06,0.434,98.65,3.5980000000000003,0.72,0.0
504,0.187,0.0225,0.361,11.545,10.557,17.034000000000002,-1.114,3.359,92.38,-0.005,0.919,10.286,0.079,-1.114,99.49,3.359,0.778,0.0
505,0.187,0.0239,0.361,10.87,9.939,16.038,-1.0490000000000002,3.162,86.93,-0.005,0.865,9.685,0.079,-1.0490000000000002,91.36,3.162,0.733,0.0
506,0.187,0.0246,0.361,10.625,9.677,15.677,-0.7340000000000001,3.091,84.66,-0.005,0.845,9.429,0.079,-0.7340000000000001,86.57,3.091,0.713,1.0
507,0.158,0.0242,0.298,8.908,11.172,15.944,-0.53,3.088,85.82,0.015,0.894,10.916,0.079,-0.53,90.31,3.088,0.825,0.0
508,0.158,0.0252,0.298,8.564,10.741,15.329,-0.4920000000000001,2.969,82.49,0.015,0.86,10.495,0.079,-0.4920000000000001,86.13,2.969,0.7929999999999999,1.0
509,0.158,0.0289,0.298,8.607999999999999,10.796,15.407,-0.482,2.984,82.91,0.015,0.8640000000000001,10.548,0.079,-0.482,88.17,2.984,0.797,0.0
510,0.138,0.0291,0.242,6.829,12.797,15.038,-0.451,3.034,82.51,0.04,0.8859999999999999,12.525,0.084,-0.451,86.57,3.034,1.2,1.0
511,0.138,0.0288,0.242,6.901,12.93,15.195,-0.45,3.065,83.38,0.04,0.895,12.656,0.084,-0.45,87.84,3.065,0.6579999999999999,0.0
512,0.138,0.0288,0.242,6.897,12.924,15.187,-0.44,3.064,83.36,0.04,0.895,12.649,0.084,-0.44,89.17,3.064,0.657,1.0
513,0.125,0.0284,0.194,5.614,14.973,15.228,-0.422,2.9730000000000003,84.6,0.069,0.939,14.662,0.08900000000000001,-0.422,84.67,2.9730000000000003,1.611,1.0
514,0.125,0.0264,0.194,6.026,16.073,16.346,-0.453,3.1910000000000003,90.81,0.069,1.008,15.738,0.08900000000000001,-0.453,91.15,3.1910000000000003,1.73,1.0
515,0.125,0.0256,0.194,6.232,16.621,16.904,-0.468,3.3,93.91,0.069,1.042,16.276,0.08900000000000001,-0.468,93.91,3.3,-67.689,1.0
516,0.128,0.024700000000000003,0.193,6.069,16.864,17.187,6.975,2.909,96.95,0.073,1.111,16.52,0.099,6.975,97.5,2.909,-42.25,1.0
517,0.128,0.0242,0.193,6.2189999999999985,17.282,17.613,7.147,2.9810000000000003,99.38,0.073,1.139,16.928,0.099,7.147,99.39,2.9810000000000003,1.285,1.0
518,0.128,0.0228,0.193,6.4689999999999985,18.33,18.32,8.164,3.1010000000000004,105.39,0.073,1.185,17.956,0.099,8.164,105.4,3.1010000000000004,1.3630000000000002,0.0
519,0.136,0.0235,0.204,5.984,16.898,17.667,2.188,3.143,102.17,0.079,1.146,16.542,0.093,2.188,107.15,3.143,1.357,1.0
520,0.136,0.0221,0.204,6.3610000000000015,17.962,18.78,2.432,3.341,108.65,0.079,1.218,17.584,0.093,2.432,109.38,3.341,1.443,0.0
521,0.136,0.0278,0.204,5.898,16.653,17.410999999999998,2.255,3.097,100.74,0.079,1.129,16.303,0.093,2.255,111.4,3.097,1.338,1.0
522,0.14,0.0257,0.2,7.037000000000001,17.042,18.427,2.109,3.283,109.06,0.068,1.24,16.703,0.102,2.109,109.07,3.283,1.418,0.0
523,0.14,0.0283,0.2,6.3889999999999985,15.473,16.730999999999998,1.914,2.9810000000000003,99.03,0.068,1.126,15.165,0.102,1.914,108.92,2.9810000000000003,1.288,1.0
