,CAPEI,pcf,divyield,evm,pe_inc,pe_op_dil,pe_op_basic,bm,PEG_ltgforward,ptb,aftret_equity,sale_invcap,PEG_1yrforward,pe_exi,debt_assets
2861,20.236,3.774,0.0519,6.0760000000000005,12.144,16.005,15.923,0.6609999999999999,4.603,1.386,0.145,0.728,-39.949,15.605,0.611
2486,30.075,22.682,0.0097,15.92,15.466,15.466,15.136,0.16399999999999998,1.218,6.115,0.258,2.34,0.7290000000000001,15.466,0.39
758,57.374,14.966,0.025765303867403312,9.798,3.562,3.562,3.506,0.211,0.195,6.3210000000000015,0.311,1.64,0.3670000000000001,3.562,0.458
2462,19.451,15.859000000000002,0.0163,13.992,5.597,5.443,5.3420000000000005,0.229,0.685,3.705,0.218,2.312,0.508,5.478,0.325
704,8.752,6.271,0.0408,6.5360000000000005,10.353,10.353,10.282,0.8390000000000001,-5.984,1.115,0.127,1.067,-0.166,10.353,0.413
944,20.34,14.267,0.0218,12.091,16.549,18.054,17.807000000000006,0.275,1.901,3.641,0.189,1.101,6.49,17.13,0.635
3265,9.463,10.898608050847457,0.009000000000000001,21.781,7.065,7.065,6.586,0.7120000000000001,0.406,1.233,0.24946822033898305,0.193,-0.433,7.065,0.916
9,30.435,20.418,0.0136,14.175999999999998,23.302,22.242,22.075,0.134,1.997,7.995,0.29600000000000004,1.117,1.644,23.302,0.396
1675,23.537,16.265,0.0226,9.884,18.224,18.388,18.062,0.2,1.611,5.4620000000000015,0.32299999999999995,1.832,2.748,18.062,0.494
2638,24.823,13.72,0.0175,10.662,26.546,28.933000000000003,28.297,0.289,1.463,3.766,0.159,0.919,0.878,26.546,0.233
